編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLOJJHNFFAU56CC,永興段,99.85,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLOJJHNFFAU76CC,碧雲段,30.25,都市：住
RPQNMLOJJHNFFAU66CC,嘉新段,85.00,都市：住
RPUNMLOJJHNFFAU07CC,莊敬段,27.00,都市：住
RPVNMLOJJHNFFAU17CC,主權段,46.96,都市：住
RPWNMLOJJHNFFAU27CC,莊敬段,11.04,都市：住
RPPOMLOJJHNFFAU66CC,仁義段,99.00,都市：住
RPTNMLOJJHNFFAU96CC,主商段,6.10,都市：商
RPXNMLOJJHNFFAU37CC,富國段,8.51,都市：住
RPSOMLOJJHNFFAU96CC,永安段,73.77,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLOJJHNFFAU07CC,裕民段,5.94,都市：商
RPVOMLOJJHNFFAU27CC,仁禮段,96.68,都市：住
RPTNMLSJJHNFFAU47DC,永安段,42.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPQMLOJJHNFFAU86CC,北濱段,157.00,都市：住
RPPPMLOJJHNFFAU76CC,民生段,19.56,都市：商
RPTPMLOJJHNFFAU17CC,慶豐段,26.00,都市：住
RPTPMLOJJHNFFAU17CC,慶豐段,207.00,都市：住
RPRQMLOJJHNFFAU07CC,慈惠段,.00,都市：住
RPWQMLOJJHNFFAU57CC,主權段,19.50,都市：住
RPUNMLSJJHNFFAU57DC,宜昌段,108.00,都市：住
RPWQMLOJJHNFFAU57CC,德安段,.18,都市：住
