編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLNJJHNFFAV56CA,,204.95,見其他登記事項,見其他登記事項,106年9月27日,三層,一層 二層 三層 屋頂突出物
RPSOMLNJJHNFFAV76CA,41,62.64,,見其他登記事項,66年1月15日,二層,一層 二層 騎樓
RPSNMLOJJHNFFAV76CA,45,28.21,住家用,見其他登記事項,61年7月10日,一層,一層
RPSNMLOJJHNFFAV76CA,36,25.81,住家用,加強磚造,70年7月30日,一層,一層
RPROMLNJJHNFFAV66CA,35,109.48,住家用,加強磚造,71年11月13日,二層,一層 二層
RPPNMLOJJHNFFDV76CA,11,80.93,住家用,見其他登記事項,96年1月22日,一層,一層
RPSNMLPJJHNFFAV86CA,3,229.11,見其他登記事項,見其他登記事項,104年3月16日,三層,一層 二層 三層
RPSNMLTJJHNFFAV27CA,37,96.30,住家用,加強磚造,69年4月21日,二層,一層 二層
RPQNMLOLJHNFFAV86DA,35,26.35,住家用,見其他登記事項,72年3月1日,一層,一層
RPRNMLTJJHNFFAV17CA,2,249.99,見其他登記事項,見其他登記事項,104年7月3日,三層,一層 二層 三層 見其他登記事項
RPUNMLTJJHNFFAV47CA,25,29.19,見其他登記事項,鋼筋混凝土造,82年5月22日,十二層,六層
RPQNMLKKJHNFFAV88CA,44,46.92,住家用,見其他登記事項,62年9月7日,一層,一層
RPTNMLLKJHNFFDV96CA,23,31.54,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,三層
RPTNMLLKJHNFFDV96CA,23,6.07,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPXNMLKKJHNFFAV96CA,35,105.63,見其他登記事項,鋼筋混凝土造,72年2月9日,四層,二層
RPXNMLKKJHNFFAV96CA,35,.99,見其他登記事項,鋼筋混凝土造,72年2月9日,四層,
RPXNMLKKJHNFFAV96CA,35,5.86,見其他登記事項,鋼筋混凝土造,72年2月9日,四層,
RPXNMLKKJHNFFAV96CA,35,1.15,見其他登記事項,鋼筋混凝土造,72年2月9日,四層,
RPWNMLMKJHNFFAV07CA,44,53.50,住家用,見其他登記事項,63年5月1日,一層,一層
RPUNMLLKJHNFFAV76CA,22,172.94,住家用,鋼筋混凝土造,85年2月16日,三層,一層 二層 三層
RPQNMLLKJHNFFAV98CA,12,249.25,住家用,見其他登記事項,94年8月29日,三層,一層 二層 三層
RPPNMLMLJHNFFAV09CA,10,207.35,住家用,見其他登記事項,97年2月22日,三層,一層 二層 三層
RPQNMLTLJHNFFCV47CA,,230.70,見其他登記事項,鋼筋混凝土造,106年11月10日,三層,一層 二層 三層
RPRNMLOLJHNFFAV86CA,14,161.10,見其他登記事項,鋼筋混凝土造,93年3月3日,三層,一層 二層 三層 騎樓
RPSNMLLJKHNFFCV76CA,,230.70,見其他登記事項,鋼筋混凝土造,106年11月10日,三層,一層 二層 三層
RPPNMLMKJHNFFCV66DA,,70.65,住商用,見其他登記事項,,二層,一層 二層
RPPNMLSJKHNFFCV17CA,,190.60,見其他登記事項,鋼筋混凝土造,106年11月10日,二層,一層 二層 見其他登記事項
