編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUSMLLKJHNFFCA97CA,東湖段八小段,18.85,都市：住
RPPPMLMKJHNFFCA27CA,中山段三小段,58.17,都市：商
RPSPMLPKJHNFFCA87CA,康寧段三小段,25.38,都市：住
RPSPMLPKJHNFFCA87CA,康寧段三小段,25.38,都市：住
RPSQMLNLJHNFFCA87CA,中山段一小段,4.98,都市：商
RPVNMLPKJHNFFCA97CA,長安段三小段,.14,都市：商
RPVNMLPKJHNFFCA97CA,長安段三小段,.48,都市：商
RPVNMLPKJHNFFCA97CA,長安段三小段,2.36,都市：其他
RPVSMLLKJHNFFCA08CA,碧湖段二小段,8.45,都市：商
RPUPMLSKJHNFFCA38CA,東湖段五小段,25.75,都市：住
RPQNMLMKJHNFFCA17CA,吉林段四小段,3.26,都市：商
RPSTMLLKJHNFFCA87CA,正義段四小段,3.01,都市：商
RPXNMLLKJHNFFDA87CA,永吉段二小段,8.31,都市：商
RPXNMLLKJHNFFDA87CA,永吉段二小段,5.20,都市：住
RPROMLLMJHNFFCA47CA,石潭段四小段,72.00,都市：住
RPRPMLLMJHNFFCA57CA,吉林段四小段,17.23,都市：商
RPROMLSJKHNFFCA97CA,榮星段二小段,14.48,都市：住
RPWPMLNLJHNFFCA18CA,中山段一小段,.87,都市：商
RPSOMLQLJHNFFCA97CA,潭美段三小段,61.95,都市：工
RPSOMLQLJHNFFCA97CA,潭美段三小段,2.12,都市：其他
RPSOMLQLJHNFFCA97CA,潭美段三小段,77.05,都市：工
RPSRMLQLJHNFFCA28CA,康寧段二小段,29.66,都市：住
RPPRMLQLJHNFFCA97CA,吉林段三小段,27.00,都市：商
RPVOMLLKJHNFFDA77CA,延吉段三小段,41.82,都市：住
RPWOMLLKJHNFFDA87CA,經貿段,17.37,都市：住
RPSOMLMKJHNFFDA57CA,敦化段五小段,10.97,都市：住
RPUPMLMKJHNFFDA87CA,逸仙段三小段,7.02,都市：商
RPUPMLMKJHNFFDA87CA,逸仙段三小段,24.42,都市：住
RPSPMLQLJHNFFDA18CA,民生段,67.75,都市：住
RPQPMLQKJHNFFEA97CA,陽明段一小段,14.04,都市：商
RPRRMLRKJHNFFEA38CA,豐年段二小段,233.10,都市：農
RPPOMLOLJHNFFDA57CA,敦化段一小段,114.75,都市：其他
RPPOMLQKJHNFFEA77CA,華岡段三小段,8.73,都市：住
RPQPMLPLJHNFFDA87CA,美仁段二小段,.04,都市：商
