編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVOMLMKJHNFFAA67CB,興安段一小段,1.37,都市：住
RPUOMLMKJHNFFAA57CB,興安段一小段,1.37,都市：住
RPWOMLMKJHNFFAA77CB,興安段一小段,1.37,都市：住
RPPPMLMKJHNFFAA17CB,興安段一小段,1.37,都市：住
RPXOMLMKJHNFFAA87CB,興安段一小段,1.37,都市：住
RPOPMLMKJHNFFAA07CB,興安段一小段,1.36,都市：住
RPTOMLMKJHNFFAA47CB,興安段一小段,1.74,都市：住
RPSOMLMKJHNFFAA37CB,興安段一小段,1.87,都市：住
RPRPMLMKJHNFFAA37CB,興安段一小段,1.37,都市：住
RPQPMLMKJHNFFAA27CB,興安段一小段,1.37,都市：住
RPSPMLMKJHNFFAA47CB,興安段一小段,1.37,都市：住
RPWPMLMKJHNFFAA87CB,興安段一小段,1.79,都市：住
RPVPMLMKJHNFFAA77CB,興安段一小段,1.79,都市：住
RPTPMLMKJHNFFAA57CB,興安段一小段,1.38,都市：住
RPUPMLMKJHNFFAA67CB,興安段一小段,1.38,都市：住
RPQOMLMKJHNFFAA17CB,興安段一小段,1.87,都市：住
RPXPMLMKJHNFFAA97CB,興安段一小段,1.87,都市：住
RPROMLMKJHNFFAA27CB,興安段一小段,1.87,都市：住
