¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï¤¤¦¨¸ô1~30¸¹,5.04,°Ó,,,1061225,¤g¦a1«Øª«1¨®¦ì0,¤Q¤T¼h,¤G¤Q¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860127,62.12,2,1,1,¦³,¦³,3160000,50869,,0.0,0,,RPPOMLMKJHNFFAD27CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¤½¶é¸ô121~150¸¹,3.51,°Ó,,,1061226,¤g¦a2«Øª«1¨®¦ì0,¤»¼h,¤Q¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0780803,31.8,1,1,1,¦³,¦³,770000,24214,,0.0,0,,RPTOMLPKJHNFFAD97CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¤½¶é«n¸ô331~360¸¹,8.67,¨ä¥L,,,1061129,¤g¦a2«Øª«1¨®¦ì0,¤T¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0971219,78.48,2,1,1,¦³,¦³,4200000,53517,,0.0,0,¥þ·s¸ËæC¡Bªþ®a¨ã,RPUQMLPKJHNFFAD28CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°Ï¨|¥­¤Eµó372«Ñ33§Ë1~30¸¹,85.7,¦í,,,1061125,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0950712,200.18,4,2,3,¦³,µL,11000000,54951,,0.0,0,,RPQNMLQKJHNFFAD67CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¦èªù¸ô¥|¬q16«Ñ31§Ë61~90¸¹,0.0,,,,1061127,¤g¦a0«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0941215,212.68,5,2,4,¦³,µL,10020000,47113,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C¤g¦a«YÄÝ¤¯·R¤§®a¶R¨ü¤H¦@2¤H,RPUNMLQKJHNFFAD08CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥_°Ï¤½¶é«n¸ô331~360¸¹,8.52,¦í,,,1061208,¤g¦a2«Øª«1¨®¦ì1,¤K¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0971219,85.03999999999999,2,2,1,¦³,¦³,5250000,61736,©Y¹D¾÷±ñ,0.0,0,,RPOOMLRKJHNFFAD67CA
¦w¥­°Ï,¤g¦a,ª÷«°¬q61~90¦a¸¹,341.0,¦í,,,1061027,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,27335412,80162,,0.0,0,,RPTPMLRKJHNFFAD28CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥_°Ïªøºa¸ô¥|¬q31~60¸¹,36.1,°Ó,,,1061216,¤g¦a2«Øª«1¨®¦ì2,¤Q¤G¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0960921,371.65,4,2,3,¦³,¦³,25000000,67268,©Y¹D¥­­±,57.98,0,,RPUQMLMLJHNFFAD08CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï¦è½å¤Gµó181~210¸¹,136.58,¦í,,,1061102,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤­¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1040819,347.58,5,2,5,¦³,µL,19980000,57483,,0.0,0,,RPVNMLPLJHNFFAD18CA
¤¤¦è°Ï,¤g¦a,¨ª®r¬q91~120¦a¸¹,6.48,°Ó,,,1061229,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,276307,42640,,0.0,0,·î¹s¦a©Î¦³¦X¨Ö¨Ï¥Î¤§¥æ©ö¡C¦V¬F©²¾÷Ãö©ÓÁÊ¤§®×¥ó¡C,RPUNMLLMJHNFFAD77CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¤¤¦è°Ï©M½n¸ô¤­¬q61~90¸¹,39.9,¦í,,,1061204,¤g¦a1«Øª«1¨®¦ì2,¤Q¥|¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1060628,467.74,3,2,3,¦³,¦³,34410000,76525,©Y¹D¥­­±,54.68,2800000,,RPTOMLKMJHNFFAD67CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¤jªZµó151~180¸¹,21.33,¦í,,,1061219,¤g¦a2«Øª«1¨®¦ì0,¤»¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0701216,80.58,3,1,1,¦³,µL,2100000,26061,,0.0,0,,RPUNMLOJKHNFFAD87CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï¦w´Iµó251«Ñ31~60¸¹,75.28,¦í,,,1061204,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1041113,150.36,4,2,4,¦³,µL,9500000,63182,,0.0,0,,RPUNMLLKJHNFFBD67CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ïªø·Ë¸ô¤T¬q405«Ñ40§Ë151~180¸¹,98.43,¦í,,,1061120,¤g¦a3«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1011015,172.95,4,3,3,¦³,¦³,8200000,47413,,0.0,0,,RPVNMLLKJHNFFBD77CA
¦w«n°Ï,¤g¦a,¹A³õ¬q1~30¦a¸¹,10126.5,¨ä¥L,,,1070104,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,40526256,4002,,0.0,0,¨óÄ³»ùÁÊ¤g¦a,RPPOMLMKJHNFFBD37CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ïªø©M¸ô¥|¬q200«Ñ1~30¸¹,102.03,¦í,,,1061221,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0700103,106.12,4,3,3,¦³,µL,2900000,27328,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPWNMLTKJHNFFBD68CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï©²¦w¸ô¤­¬q162«Ñ49§Ë1~30¸¹,86.48,¦í,,,1061207,¤g¦a3«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1041216,189.7,5,2,4,¦³,µL,10300000,54296,,0.0,0,,RPQNMLTLJHNFFBD18CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï¦{«n¨½¦{«n¤Tµó121~150¸¹,80.84,¦í,,,1061223,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1060707,219.93,5,2,6,¦³,µL,12000000,54563,,0.0,0,,RPUOMLTLJHNFFBD68CA
ªF°Ï,¨®¦ì,»O«n¥«ªF°Ï¤¤µØªF¸ô¤G¬q73«Ñ1~30¸¹,3.82,°Ó,,,1070102,¤g¦a0«Øª«0¨®¦ì1,¦a¤U¼h,¤»¼h,¨ä¥L,°±¨®ªÅ¶¡,¿ûµ¬²V¾®¤gºc³y,0800425,12.48,0,0,0,¦³,µL,800000,,©Y¹D¥­­±,0.0,800000,,RPXOMLLKJHNFFCD18CA
ªF°Ï,¤g¦a,ªê§À¼d¬q361~390¦a¸¹,452.0,¨ä¥L,,,1061222,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3250000,7190,,0.0,0,(¥]§t)¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPSNMLMKJHNFFCD67CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥««n°Ï©ú¼w¨½¤j¦¨¸ô¤@¬q30«Ñ1~30¸¹,75.36,¦í,,,1061209,¤g¦a6«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,1021217,180.81,5,2,4,¦³,µL,12450000,68857,,0.0,0,,RPRNMLPLJHNFFCD97CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«ªF°Ï±Rµ½¤Q¤@µó54«Ñ31~60¸¹,121.0,¦í,,,1061216,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,1050926,330.59,5,2,6,¦³,µL,31000000,93772,,0.0,0,,RPROMLLJKHNFFCD57CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«ªF°Ï¤¯ªFµó1~30¸¹,13.79,¦í,,,1061221,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0871218,93.05000000000001,3,2,1,¦³,¦³,3500000,37614,¤É­°¾÷±ñ,0.0,0,,RPOPMLLJKHNFFCD37CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«ªF°ÏªF¿³¸ô181~210¸¹,16.81,¦í,,,1070101,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0740427,93.61,3,2,1,¦³,¦³,3400000,36321,,0.0,0,,RPUOMLMJKHNFFCD97CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«ªF°ÏªF¦¨µó111«Ñ1~30¸¹,22.23,¦í,,,1040929,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤Q¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,1061108,90.94,3,2,1,¦³,¦³,5360000,58940,,0.0,0,,RPSNMLNJKHNFFCD77CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«ªF°ÏªF¦¨µó111«Ñ1~30¸¹,26.23,¦í,,,1040927,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤Q¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,1061108,109.32,3,2,1,¦³,¦³,6100000,55799,¤É­°¾÷±ñ,0.0,0,,RPTNMLNJKHNFFCD87CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«ªF°ÏªF¦¨µó111«Ñ1~30¸¹,26.23,¦í,,,1061204,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤Q¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,1061108,109.47,3,2,1,¦³,¦³,5750000,52526,¤É­°¾÷±ñ,0.0,0,,RPUNMLNJKHNFFCD97CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«ªF°Ï¸Î«H¤Tµó91~120¸¹,94.43,¦í,,,1061208,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,1060914,218.69,4,2,4,¦³,¦³,14000000,64018,,0.0,0,,RPQNMLQJKHNFFCD87CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«ªF°Ï¸Î«H¤Tµó91~120¸¹,73.43,¦í,,,1061208,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,1060914,181.15,4,2,4,¦³,¦³,11930000,65857,,0.0,0,,RPSNMLQJKHNFFCD08CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«ªF°Ï¸Î«H¤Tµó91~120¸¹,93.86,¦í,,,1061208,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,1060914,218.96,4,2,4,¦³,¦³,13000000,59372,,0.0,0,,RPUNMLQJKHNFFCD28CA
«n°Ï,¤g¦a,¤j©¾¬q1~30¦a¸¹,33.94,¨ä¥L,,,1061225,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,140000,4125,,0.0,0,¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPROMLSJKHNFFCD28CA
·sÀç°Ï,¤g¦a,¤Ó¤l¬q421~450¦a¸¹,120.5,¦í,,,1061227,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1530000,12697,,0.0,0,«ù¤À²¾Âà¡C,RPWOMLPKJHNFFDD58CA
ÆQ¤ô°Ï,¤g¦a,¤ô¨q¬q631~660¦a¸¹,50.24,¹A,,,1061229,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,60000,1194,,0.0,0,¦@¦³¤H¶¡¥æ©ö,RPUNMLQKJHNFFDD38CA
·sÀç°Ï,¤g¦a,¤T¼w¬q1381~1410¦a¸¹,103.72,¦í,,,1061227,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2384120,22986,,0.0,0,,RPRNMLRJKHNFFDD18CA
«á¾À°Ï,¤g¦a,¤g·¾¬q2761~2790¦a¸¹,3934.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1061013,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5900000,1500,,0.0,0,,RPQNMLMKJHNFFED67CA
ªF¤s°Ï,¤g¦a,¥_¶Õ¼d¬q181~210¦a¸¹,1799.86,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1061222,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,810000,450,,0.0,0,,RPPNMLPKJHNFFED87CA
¥Õªe°Ï,¤g¦a,°¨¸Y«á¬q211~240¦a¸¹,12429.0,,¤s©Y¦a«O¨|°Ï,¹Aªª¥Î¦a,1061228,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5126120,412,,0.0,0,,RPQNMLNLJHNFFED87CA
³Â¨§°Ï,¤g¦a,«n¼d¬q181~210¦a¸¹,1778.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1061012,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3467100,1950,,0.0,0,,RPTNMLMKJHNFFFD08CA
