鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新店區,房地(土地+建物)+車位,北宜段1~30地號,12.49,商,,,1060906,土地1建物1車位1,二十七層,30,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,187.55,4,2,2,有,無,34870000,185924,坡道平面,0.0,0,,RPQNMLNKJHNFFCF97DB
新店區,房地(土地+建物)+車位,北宜段1~30地號,12.49,商,,,1060906,土地1建物1車位1,二十七層,30,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,185.97,4,2,2,有,無,34870000,187503,坡道平面,0.0,0,,RPRNMLNKJHNFFCF08DB
林口區,房地(土地+建物)+車位,建林段331~360地號,17.14,住,,,1060605,土地1建物1車位1,四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.95,3,2,2,有,無,15260000,108171,坡道平面,22.98,1850000,,RPRPMLQKJHNFFBF38CB
林口區,房地(土地+建物),建林段331~360地號,16.95,住,,,1060210,土地1建物1車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.97,3,2,2,有,無,14050000,113334,,0.0,0,,RPSPMLQKJHNFFBF48CB
林口區,房地(土地+建物)+車位,建林段331~360地號,17.14,住,,,1060428,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.95,3,2,2,有,無,15530000,110349,坡道平面,22.98,1850000,,RPUPMLQKJHNFFBF68CB
林口區,房地(土地+建物)+車位,建林段331~360地號,18.3,住,,,1060605,土地1建物1車位1,四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.83,3,2,2,有,無,16000000,108202,坡道平面,22.98,1950000,,RPVPMLQKJHNFFBF78CB
林口區,房地(土地+建物)+車位,建林段331~360地號,18.3,住,,,1060405,土地1建物1車位1,十層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.83,3,2,2,有,無,16210000,111359,坡道平面,22.98,1750000,,RPXPMLQKJHNFFBF98CB
林口區,房地(土地+建物)+車位,建林段331~360地號,18.3,住,,,1060513,土地1建物1車位1,十七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.83,3,2,2,有,無,16800000,114363,坡道平面,22.98,1950000,,RPOQMLQKJHNFFBF18CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1050428,土地1建物1車位1,十五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.47,2,2,1,有,無,12180000,118226,坡道平面,22.98,1600000,,RPPQMLQKJHNFFBF28CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1050716,土地1建物1車位1,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.47,2,2,1,有,無,11700000,111744,坡道平面,22.98,1700000,,RPQQMLQKJHNFFBF38CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1050807,土地1建物1車位1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.47,2,2,1,有,無,11350000,108951,坡道平面,22.98,1600000,,RPRQMLQKJHNFFBF48CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1050729,土地1建物1車位1,十六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,12080000,115190,坡道平面,22.98,1850000,,RPSQMLQKJHNFFBF58CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1051209,土地1建物1車位1,十三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11650000,112037,坡道平面,22.98,1700000,,RPTQMLQKJHNFFBF68CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1060512,土地1建物1車位1,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11250000,108096,坡道平面,22.98,1650000,,RPUQMLQKJHNFFBF78CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1060514,土地1建物1車位1,九層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11600000,110911,坡道平面,22.98,1750000,,RPVQMLQKJHNFFBF88CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1060520,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11750000,111474,坡道平面,22.98,1850000,,RPWQMLQKJHNFFBF98CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1060524,土地1建物1車位1,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11700000,112037,坡道平面,22.98,1750000,,RPXQMLQKJHNFFBF09CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1050319,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,12350000,119356,坡道平面,22.98,1750000,,RPORMLQKJHNFFBF28CB
林口區,房地(土地+建物),建林段331~360地號,12.52,住,,,1050415,土地1建物1車位0,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.81,2,2,1,有,無,9980000,112375,,0.0,0,,RPQRMLQKJHNFFBF48CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1050415,土地1建物1車位1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.47,2,2,1,有,無,11720000,111968,坡道平面,22.98,1700000,,RPRRMLQKJHNFFBF58CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1050915,土地1建物1車位1,四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11000000,105281,坡道平面,22.98,1650000,,RPSRMLQKJHNFFBF68CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1060422,土地1建物1車位1,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11500000,109785,坡道平面,22.98,1750000,,RPTRMLQKJHNFFBF78CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1060418,土地1建物1車位1,十層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,12700000,123297,坡道平面,22.98,1750000,,RPURMLQKJHNFFBF88CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1060326,土地1建物1車位1,九層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11600000,112037,坡道平面,22.98,1650000,,RPWRMLQKJHNFFBF09CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1060424,土地1建物1車位1,三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,12220000,117892,坡道平面,22.98,1750000,,RPXRMLQKJHNFFBF56CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1060502,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11730000,111249,坡道平面,22.98,1850000,,RPOSMLQKJHNFFBF38CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1050412,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11600000,112600,坡道平面,22.98,1600000,,RPQSMLQKJHNFFBF58CB
林口區,房地(土地+建物),建林段331~360地號,18.1,住,,,1051024,土地1建物1車位0,十六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.85,3,2,2,有,無,15700000,120909,,0.0,0,,RPRSMLQKJHNFFBF68CB
林口區,房地(土地+建物)+車位,建林段331~360地號,17.14,住,,,1050814,土地1建物1車位1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.59,3,2,2,有,無,16250000,116363,坡道平面,22.98,1750000,,RPSSMLQKJHNFFBF78CB
林口區,房地(土地+建物)+車位,建林段331~360地號,17.14,住,,,1060121,土地1建物1車位1,十層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.95,3,2,2,有,無,15900000,114141,坡道平面,22.98,1750000,,RPTSMLQKJHNFFBF88CB
林口區,房地(土地+建物),建林段331~360地號,11.17,住,,,1050408,土地1建物1車位0,二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.25,2,2,1,有,無,9600000,113947,,0.0,0,,RPUSMLQKJHNFFBF98CB
林口區,房地(土地+建物),建林段331~360地號,11.17,住,,,1050616,土地1建物1車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.26,2,2,1,有,無,9300000,111698,,0.0,0,,RPVSMLQKJHNFFBF09CB
林口區,房地(土地+建物)+車位,建林段331~360地號,11.36,住,,,1050725,土地1建物1車位1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.24,2,2,1,有,無,11000000,111098,坡道平面,22.98,1750000,,RPWSMLQKJHNFFBF56CB
林口區,房地(土地+建物)+車位,建林段331~360地號,11.36,住,,,1051213,土地1建物1車位1,三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.24,2,2,1,有,無,10990000,109176,坡道平面,22.98,1900000,,RPXSMLQKJHNFFBF66CB
林口區,房地(土地+建物)+車位,建林段331~360地號,11.36,住,,,1060312,土地1建物1車位1,十層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.24,2,2,1,有,無,10860000,110617,坡道平面,22.98,1650000,,RPOTMLQKJHNFFBF48CB
林口區,房地(土地+建物),建林段331~360地號,11.17,住,,,1060222,土地1建物1車位0,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.26,2,2,1,有,無,9450000,113500,,0.0,0,,RPPTMLQKJHNFFBF58CB
林口區,房地(土地+建物)+車位,建林段331~360地號,11.36,住,,,1060317,土地1建物1車位1,九層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.24,2,2,1,有,無,11020000,111338,坡道平面,22.98,1750000,,RPQTMLQKJHNFFBF68CB
林口區,房地(土地+建物)+車位,建林段331~360地號,11.36,住,,,1060225,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.24,2,2,1,有,無,11050000,111698,坡道平面,22.98,1750000,,RPRTMLQKJHNFFBF78CB
林口區,房地(土地+建物)+車位,建林段331~360地號,18.3,住,,,1060602,土地1建物1車位1,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.83,3,2,2,有,無,16800000,115133,坡道平面,22.98,1850000,,RPTTMLQKJHNFFBF98CB
林口區,房地(土地+建物)+車位,建林段331~360地號,12.71,住,,,1051002,土地1建物1車位1,十層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,11700000,113163,坡道平面,22.98,1650000,,RPUTMLQKJHNFFBF09CB
林口區,房地(土地+建物),力行段901~930地號,16.39,住,,,1040602,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,115.85,0,0,0,無,無,23830000,205697,,0.0,0,,RPROMLSKJHNFFBF48CB
林口區,房地(土地+建物),力行段901~930地號,16.04,住,,,1040702,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,113.41,0,0,0,無,無,23330000,205714,,0.0,0,,RPTOMLSKJHNFFBF68CB
林口區,房地(土地+建物),力行段901~930地號,9.98,住,,,1040410,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.57,0,0,0,無,無,7330000,103868,,0.0,0,,RPWOMLSKJHNFFBF98CB
林口區,房地(土地+建物),力行段901~930地號,9.87,住,,,1040407,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.79,0,0,0,無,無,7380000,105746,,0.0,0,,RPXOMLSKJHNFFBF09CB
林口區,房地(土地+建物),力行段901~930地號,9.98,住,,,1050713,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.57,0,0,0,無,無,6560000,92957,,0.0,0,,RPOPMLSKJHNFFBF28CB
