鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
板橋區,房地(土地+建物)+車位,新北市板橋區龍泉街108巷91~120號,18.82,住,,,1070110,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900214,142.06,3,2,2,有,有,有,25000,176,坡道平面,37.68,0,,RPVQMLLKJHNFFAF38CC
板橋區,建物,新北市板橋區遠東路1~30號,0.0,其他,,,1070104,土地0建物0車位3,八層,11,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0990426,782.69,1,1,2,有,有,有,311840,398,坡道平面,0.0,4000,2個車位免費，1個車位另外算4000元,RPQSMLLKJHNFFAF08CC
中和區,房地(土地+建物)+車位,新北市中和區中正路781~810號,85.23,工,,,1060920,土地1建物1車位1,七層,13,廠辦,工業用,鋼筋混凝土造,0860221,357.96000000000004,0,0,0,無,有,無,76200,213,坡道平面,34.01,0,,RPQOMLLKJHNFFHF38CC
永和區,建物,新北市永和區永和路二段271~300號,0.0,商,,,1061214,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060123,97.59,2,2,2,有,有,有,30000,307,,0.0,0,租金含稅價,RPOPMLLKJHNFFHF28CC
中和區,建物,新北市中和區宜安路168巷1~30號,0.0,住,,,1061220,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021231,141.82999999999998,3,2,2,有,有,無,28353,200,,0.0,0,,RPSPMLLKJHNFFHF68CC
鶯歌區,房地(土地+建物),新北市鶯歌區南雅路33巷6弄1~30號,18.94,住,,,1070109,土地1建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890310,113.21,3,2,2,有,有,無,13000,115,,0.0,0,,RPROMLLKJHNFFIF58CC
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路91~120號,4.45,住,,,1070109,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,76.26,1,0,1,有,有,無,18000,236,坡道平面,19.82,0,,RPUNMLLKJHNFFDF28CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段61~90號,17.45,工,,,1061228,土地3建物1車位2,十四層,20,廠辦,工商用,鋼造,0830330,290.0,0,0,0,無,有,無,50000,172,坡道平面,0.0,0,,RPXOMLLKJHNFFDF68CC
樹林區,房地(土地+建物)+車位,新北市樹林區大成路361~390號,56.45,住,,,1070101,土地2建物1車位2,一層,10,店面(店鋪),見其他登記事項,鋼筋混凝土造,0980820,345.02,0,0,0,無,有,有,70000,203,坡道平面,53.12,0,承租1樓、2樓及地下室,RPPOMLMKJHNFFIF48CC
三重區,建物,新北市三重區和平街1~30號,0.0,住,,,1061228,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730402,68.09,2,1,1,有,無,有,17000,250,,0.0,0,,RPWNMLMKJHNFFGF88CC
永和區,建物,新北市永和區福和路181~210號,0.0,商,,,1061018,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0830611,159.94,0,0,0,無,有,無,95000,594,,0.0,0,原申報序號C1FH10611080004，更正租賃層次。租金總額包含管理費、租賃所得稅、二代健保補充保費,RPUPMLMKJHNFFHF98CC
中和區,建物,新北市中和區安樂路217巷1~30號,0.0,住,,,1061222,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830526,78.05000000000001,3,1,1,有,有,有,21000,269,,0.0,0,,RPPQMLMKJHNFFHF58CC
土城區,建物,新北市土城區裕民路61~90號,0.0,住,,,1061228,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830105,95.77,3,2,2,有,有,有,20000,209,,0.0,0,,RPTPMLMKJHNFFAF18CC
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段249巷1~30號,47.41,住,,,1061201,土地1建物1車位1,一層,9,店面(店鋪),見其他登記事項,鋼筋混凝土造,0951218,228.70999999999998,0,1,2,有,有,無,72800,318,坡道平面,0.0,0,,RPTNMLMKJHNFFBF08CC
中和區,房地(土地+建物)+車位,新北市中和區建一路91~120號,0.0,工,,,1061217,土地1建物1車位1,二層,5,廠辦,工業用,鋼筋混凝土造,0761106,276.3,0,0,0,無,有,無,45000,163,坡道平面,0.0,0,,RPRNMLNKJHNFFHF58CC
