編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLLKJHNFFIF58CC,18,89.07,住家用,鋼筋混凝土造,89年3月10日,九層,
RPROMLLKJHNFFIF58CC,18,4.87,共有部份,鋼筋混凝土造,89年3月10日,九層,
RPROMLLKJHNFFIF58CC,18,19.27,共有部份,鋼筋混凝土造,89年3月10日,九層,
RPVQMLLKJHNFFAF38CC,17,85.16,住家用,鋼筋混凝土造,90年2月14日,十三層,
RPVQMLLKJHNFFAF38CC,17,56.90,共有部份,鋼筋混凝土造,90年2月14日,十三層,
RPQSMLLKJHNFFAF08CC,8,508.62,見其他登記事項,鋼筋混凝土造,99年4月26日,十一層,
RPQSMLLKJHNFFAF08CC,8,125.95,見其他登記事項,鋼筋混凝土造,99年4月26日,十一層,
RPQSMLLKJHNFFAF08CC,8,148.12,見其他登記事項,鋼筋混凝土造,99年4月26日,十一層,
RPPOMLMKJHNFFIF48CC,8,345.02,見其他登記事項,鋼筋混凝土造,98年8月20日,十層,
RPTPMLMKJHNFFAF18CC,24,92.05,住家用,鋼筋混凝土造,83年1月5日,十二層,
RPTPMLMKJHNFFAF18CC,24,3.72,共有部份,鋼筋混凝土造,83年1月5日,十二層,
RPXOMLLKJHNFFDF68CC,24,166.29,工商用,鋼造,83年3月30日,二十層,
RPXOMLLKJHNFFDF68CC,24,41.22,共有部分,鋼造,83年3月30日,二十層,
RPXOMLLKJHNFFDF68CC,24,10.06,共有部分,鋼造,83年3月30日,二十一層,
RPXOMLLKJHNFFDF68CC,24,9.41,見使用執照,鋼造,83年3月30日,二十層,
RPXOMLLKJHNFFDF68CC,24,63.02,見使用執照,鋼造,83年3月30日,二十層,
RPWNMLMKJHNFFGF88CC,34,68.09,住家用,鋼筋混凝土造,73年4月2日,五層,
RPPQMLMKJHNFFHF58CC,24,72.79,住家用,鋼筋混凝土造,83年5月26日,六層,
RPPQMLMKJHNFFHF58CC,24,5.26,見其他登記事項,鋼筋混凝土造,83年5月26日,六層,
RPRNMLNKJHNFFHF58CC,30,180.04,工業用,鋼筋混凝土造,76年11月6日,五層,
RPRNMLNKJHNFFHF58CC,30,47.74,共有部分,鋼筋混凝土造,76年11月6日,五層,
RPRNMLNKJHNFFHF58CC,30,48.52,共有部分,鋼筋混凝土造,76年11月6日,五層,
RPUPMLMKJHNFFHF98CC,23,150.13,商業用,鋼筋混凝土造,83年6月11日,十二層,
RPUPMLMKJHNFFHF98CC,23,9.81,共有部分,鋼筋混凝土造,83年6月11日,十二層,
RPPNMLNKJHNFFIF48CC,10,134.37,住家用,鋼筋混凝土造,96年11月21日,十四層,
RPUNMLLKJHNFFDF28CC,1,76.26,見其他登記事項,見其他登記事項,105年8月10日,十五層,
RPTNMLMKJHNFFBF08CC,11,161.01,見其他登記事項,鋼筋混凝土造,95年12月18日,九層,
RPTNMLMKJHNFFBF08CC,11,32.60,共有部份,鋼筋混凝土造,95年12月18日,九層,
RPTNMLMKJHNFFBF08CC,11,35.10,共有部份,鋼筋混凝土造,95年12月18日,九層,
RPQNMLNKJHNFFIF58CC,1,164.14,見其他登記事項,鋼筋混凝土造,106年1月6日,十四層,
RPPNMLNKJHNFFCF87CC,30,275.10,工業用,鋼筋混凝土造,76年10月3日,五層,
RPPNMLNKJHNFFCF87CC,30,24.10,共有部分,鋼筋混凝土造,76年10月3日,五層,
RPTNMLOKJHNFFEF58CC,36,95.16,住家用,鋼筋混凝土造,70年10月12日,五層,
RPVOMLPKJHNFFBF68CC,27,552.87,工業用,鋼筋混凝土造,79年11月26日,十五層,
RPORMLPKJHNFFBF28CC,22,87.26,住家用,鋼筋混凝土造,84年10月27日,七層,
RPORMLPKJHNFFBF28CC,22,33.73,共有部份,鋼筋混凝土造,84年10月27日,七層,
RPQOMLLKJHNFFHF38CC,21,247.58,工業用,鋼筋混凝土造,86年2月21日,十三層,
RPQOMLLKJHNFFHF38CC,21,76.37,共有部份,鋼筋混凝土造,86年2月21日,十三層,
RPQOMLLKJHNFFHF38CC,21,34.01,共有部份,鋼筋混凝土造,86年2月21日,十三層,
RPOPMLLKJHNFFHF28CC,1,69.77,見其他登記事項,見其他登記事項,106年1月23日,十五層,
