編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLMKJHNFFBG57CA,3,221.89,見其他登記事項,鋼筋混凝土造,104年2月5日,三層,一層 二層 三層
RPRNMLMKJHNFFAG67CA,,171.28,住家用,鋼筋混凝土造,106年11月21日,三層,一層 二層 三層
RPXNMLQKJHNFFAG68CA,10,8.70,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,
RPXNMLQKJHNFFAG68CA,10,200.31,住家用,鋼筋混凝土造,96年7月5日,十四層,八層
RPXNMLQKJHNFFAG68CA,10,25.29,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,
RPXNMLQKJHNFFAG68CA,10,77.26,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,
RPXNMLQKJHNFFAG68CA,10,1.30,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,
RPXNMLQKJHNFFAG68CA,10,2.32,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,
RPUOMLNLJHNFFAG28CA,,345.56,見其他登記事項,見其他登記事項,106年11月24日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPROMLTKJHNFFAG48CA,23,102.09,住家用,鋼筋混凝土造,83年11月4日,五層,五層
RPROMLTKJHNFFAG48CA,23,17.85,見其他登記事項,鋼筋混凝土造,83年11月14日,五層,
RPTPMLOLJHNFFAG38CA,37,57.44,住家用,鋼筋混凝土加強磚造,69年8月29日,二層,一層 二層 騎樓
RPRQMLTKJHNFFAG68CA,5,205.99,見其他登記事項,鋼筋混凝土造,101年10月3日,三層,一層 二層 三層 屋頂突出物 騎樓
RPXNMLMKJHNFFBG38CA,22,.20,住家用,鋼筋混凝土造,84年9月18日,六層,一層
RPXNMLMKJHNFFBG38CA,22,2.48,共有部分,鋼筋混凝土造,84年9月18日,六層,
RPOOMLQLJHNFFAG97CA,3,378.38,農舍,鋼筋混凝土造,104年4月13日,三層,一層 二層 三層
RPROMLQKJHNFFBG28CA,13,114.80,住家用,鋼筋混凝土造,93年9月27日,十二層,十一層
RPROMLQKJHNFFBG28CA,13,47.09,共有部分,鋼筋混凝土造,93年9月27日,十四層,
RPROMLQKJHNFFBG28CA,13,18.29,共有部分,鋼筋混凝土造,93年9月27日,十二層,
RPRNMLMKJHNFFBG77CA,3,373.33,見其他登記事項,鋼筋混凝土造,103年9月3日,四層,一層 二層 三層 四層 見其他登記事項
RPSOMLPKJHNFFBG28CA,2,161.88,住家用,鋼筋混凝土造,104年7月27日,三層,三層 一層 二層
RPXNMLTKJHNFFBG09CA,40,108.72,住商用,鋼筋混凝土加強磚造,66年7月4日,二層,一層 二層 騎樓
RPRNMLLKJHNFFAG77EA,29,115.06,住家用,鋼筋混凝土造,78年3月7日,五層,二層
RPRNMLLKJHNFFAG77EA,29,23.62,見其他登記事項,鋼筋混凝土造,78年3月7日,地下層,
RPWNMLSKJHNFFBG09EA,39,56.03,住家用,鋼筋混凝土加強磚造,67年11月27日,三層,一層 二層 三層 騎樓
RPTNMLMKJHNFFBG18EA,26,534.18,住商用,見其他登記事項,80年12月26日,五層,一層 二層 三層 四層 五層 騎樓
RPWOMLOLJHNFFBG88EA,20,43.22,住家用,鋼筋混凝土造,86年10月17日,八層,四層
RPWOMLOLJHNFFBG88EA,20,22.02,共有部分,鋼筋混凝土造,86年10月17日,八層,
RPRNMLMKJHNFFBG97EA,,266.36,見其他登記事項,鋼筋混凝土造,106年9月29日,三層,一層 二層 三層 地下一層 見其他登記事項
RPPNMLPKJHNFFAG97EA,40,102.80,住家用,鋼筋混凝土加強磚造,66年12月23日,二層,一層 二層 騎樓
SPWNMLSKJHNFFBG56EA,39,56.03,住家用,鋼筋混凝土加強磚造,67年11月27日,三層,一層 二層 三層 騎樓
RPRPMLOLJHNFFAG38EA,24,96.43,住家用,鋼筋混凝土造,83年3月23日,五層,三層
RPRPMLOLJHNFFAG38EA,24,6.62,見其他登記事項,鋼筋混凝土造,83年3月23日,五層,
RPRPMLOLJHNFFAG38EA,24,18.80,見其他登記事項,鋼筋混凝土造,83年3月23日,五層,
RPWNMLOLJHNFFAG68EA,,219.10,住家用,見其他登記事項,106年10月31日,三層,一層 二層 三層
RPSOMLNLJHNFFBG18CA,22,87.77,住家用,鋼筋混凝土造,84年7月15日,八層,八層
RPSOMLNLJHNFFBG18CA,22,8.55,共有部分,鋼筋混凝土造,84年7月15日,八層,
RPSOMLNLJHNFFBG18CA,22,17.54,共有部分,鋼筋混凝土造,84年7月15日,八層,
RPSOMLQLJHNFFAG58EA,19,22.77,住家用,鋼筋混凝土造,88年2月3日,六層,六層
RPSOMLQLJHNFFAG58EA,19,4.18,見其他登記事項,鋼筋混凝土造,88年2月3日,六層,
RPSOMLQLJHNFFAG58EA,19,4.82,見其他登記事項,鋼筋混凝土造,88年2月3日,六層,
RPUNMLOLJHNFFAG48EA,,212.92,住家用,見其他登記事項,106年10月31日,三層,一層 二層 三層
RPQRMLNLJHNFFBG28CA,24,38.16,住家用,鋼筋混凝土造,83年4月13日,十五層,十二層
RPQRMLNLJHNFFBG28CA,24,4.48,共有部分,鋼筋混凝土造,83年4月13日,十五層,
RPQRMLNLJHNFFBG28CA,24,10.14,共有部分,鋼筋混凝土造,83年4月13日,十五層,
RPSNMLTKJHNFFBG58CA,33,118.08,住家用,鋼筋混凝土造,73年11月8日,五層,一層 二層 騎樓
RPVPMLRJKHNFFBG88CA,,38.10,見其他登記事項,鋼筋混凝土造,106年8月14日,十五層,九層
RPVPMLRJKHNFFBG88CA,,54.85,見其他登記事項,鋼筋混凝土造,106年8月14日,十五層,
RPXNMLOLJHNFFBG68CA,1,193.42,住家用,鋼筋混凝土造,105年10月25日,三層,一層 二層 三層 見其他登記事項
RPROMLQLJHNFFBG38CA,,106.99,見其他登記事項,鋼筋混凝土造,106年7月24日,九層,六層
RPROMLQLJHNFFBG38CA,,103.92,見其他登記事項,鋼筋混凝土造,106年7月24日,九層,
RPOPMLNLJHNFFAG77CA,52,204.03,住商用,鋼筋混凝土加強磚造,55年2月17日,三層,一層 二層 三層 騎樓
RPQNMLPKJHNFFAG87CA,27,159.00,住家用,鋼筋混凝土加強磚造,79年7月31日,二層,一層 二層
RPQNMLTKJHNFFAG28CA,4,196.45,農舍,見其他登記事項,102年11月7日,二層,一層 二層
RPOQMLRJKHNFFBG28CA,,43.50,見其他登記事項,鋼筋混凝土造,106年8月14日,十五層,十一層
RPOQMLRJKHNFFBG28CA,,34.30,見其他登記事項,鋼筋混凝土造,106年8月14日,十五層,
RPXPMLRJKHNFFBG09CA,,46.94,見其他登記事項,鋼筋混凝土造,106年8月14日,十五層,十一層
RPXPMLRJKHNFFBG09CA,,61.82,見其他登記事項,鋼筋混凝土造,106年8月14日,十五層,
RPUQMLRJKHNFFBG88CA,,43.50,見其他登記事項,鋼筋混凝土造,106年8月14日,十五層,九層
RPUQMLRJKHNFFBG88CA,,59.10,見其他登記事項,鋼筋混凝土造,106年8月14日,十五層,
RPUNMLQKJHNFFAG38CA,24,34.57,住家用,鋼筋混凝土造,83年6月3日,五層,二層
RPUNMLQKJHNFFAG38CA,24,10.49,見其他登記事項,鋼筋混凝土造,83年6月3日,五層,
RPQOMLTKJHNFFAG38CA,38,145.08,住家用,鋼筋混凝土加強磚造,68年6月27日,二層,一層 二層 騎樓
RPUNMLMKJHNFFAG97CA,6,123.27,農舍,鋼筋混凝土造,101年6月15日,三層,一層 二層 三層
RPOOMLRKJHNFFAG97CA,19,176.11,住家用,鋼筋混凝土造,87年7月13日,三層,一層 二層 三層
RPRNMLMLJHNFFAG77CA,36,153.48,住家用,鋼筋混凝土加強磚造,70年9月1日,二層,一層 二層
RPQPMLPKJHNFFBG18CA,24,123.64,住家用,鋼筋混凝土造,83年3月24日,四層,一層 二層
RPQPMLPKJHNFFBG18CA,24,9.50,共有部分,鋼筋混凝土造,83年3月24日,四層,
RPPNMLRKJHNFFBG08CA,25,134.67,住家用,鋼筋混凝土造,82年5月5日,七層,六層
RPPNMLRKJHNFFBG08CA,25,13.04,共有部分,鋼筋混凝土造,82年5月5日,七層,
RPPNMLRKJHNFFBG08CA,25,29.68,共有部分,鋼筋混凝土造,82年5月5日,七層,
RPUNMLTLJHNFFAG78CA,23,122.67,商業用,鋼筋混凝土造,83年9月29日,六層,一層 騎樓
