編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLMKJHNFFAG67CA,龍德段,141.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPPNMLMKJHNFFBG57CA,開蘭三段,10.00,都市：住
RPPNMLMKJHNFFBG57CA,開蘭三段,116.39,都市：住
RPXNMLQKJHNFFAG68CA,隆昌段,41.90,都市：住
RPUOMLNLJHNFFAG28CA,保昌段,155.24,都市：住
RPROMLTKJHNFFAG48CA,北成段,32.80,都市：住
RPTPMLOLJHNFFAG38CA,季新段,45.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRQMLTKJHNFFAG68CA,五結段,67.00,都市：住
RPOOMLMKJHNFFBG57CA,破鐺坑段,2895.36,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLSKJHNFFBG68CA,三泰段,121.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPQMLPKJHNFFBG18CA,湖北段,1078.36,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLQLJHNFFAG97CA,尚義段,2162.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLKKKHNFFAG67CA,蘇市段,20.79,都市：商
RPROMLQKJHNFFBG28CA,金六結一段,36.49,都市：住
RPRNMLMKJHNFFBG77CA,建業段,298.24,都市：住
RPPNMLPKJHNFFBG87CA,隘界三段,571.05,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLPKJHNFFBG48CA,隘界三段,724.50,非都市：特定農業區 ; 非都市編定：農牧用地
RPVPMLPKJHNFFBG68CA,新洲子段,12.93,非都市：特定農業區 ; 非都市編定：農牧用地
RPVPMLPKJHNFFBG68CA,新洲子段,13.13,非都市：特定農業區 ; 非都市編定：農牧用地
RPSOMLPKJHNFFBG28CA,金泰段,39.88,都市：農
RPSOMLPKJHNFFBG28CA,金泰段,83.55,都市：農
RPSOMLPKJHNFFBG28CA,金泰段,23.50,都市：農
RPXNMLTKJHNFFBG09CA,協天段,111.00,都市：住
RPXNMLTKJHNFFBG09CA,協天段,17.00,都市：住
RPRNMLLKJHNFFAG77EA,蘇港段,27.35,都市：商
RPRNMLLKJHNFFAG77EA,蘇港段,.02,都市：其他
RPOOMLPKJHNFFBG08EA,東德段,946.61,非都市：特定農業區 ; 非都市編定：農牧用地
RPUPMLMKJHNFFBG38DA,東德段,946.61,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLSKJHNFFBG09EA,宜興段,24.37,都市：商
RPTNMLMKJHNFFBG18EA,大東段,139.21,都市：商
RPWOMLOLJHNFFBG88EA,五峰段,11.99,都市：住
RPXOMLPLJHNFFBG98DA,下新興段,6.67,非都市：河川區 ; 非都市編定：水利用地
RPXOMLPLJHNFFBG98DA,新金面段,35.99,非都市：河川區 ; 非都市編定：水利用地
RPXOMLPLJHNFFBG98DA,新福成段,12.51,非都市：特定農業區 ; 非都市編定：農牧用地
RPXOMLPLJHNFFBG98DA,新福成段,58.71,非都市：特定農業區 ; 非都市編定：農牧用地
RPXOMLPLJHNFFBG98DA,新福成段,57.23,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLPLJHNFFBG98DA,新福成段,4.48,非都市：特定農業區 ; 非都市編定：農牧用地
RPXOMLPLJHNFFBG98DA,新福成段,1.75,非都市：特定農業區 ; 非都市編定：農牧用地
RPXOMLPLJHNFFBG98DA,新福成段,14.21,非都市：河川區 ; 非都市編定：農牧用地
RPXOMLPLJHNFFBG98DA,新福成段,.17,非都市：河川區 ; 非都市編定：水利用地
RPXOMLPLJHNFFBG98DA,新福成段,3.12,非都市：河川區 ; 非都市編定：水利用地
RPXOMLPLJHNFFBG98DA,新福成段,45.23,非都市：河川區 ; 非都市編定：農牧用地
RPXOMLPLJHNFFBG98DA,新福成段,.85,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLPLJHNFFBG98DA,新福成段,7.61,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLPLJHNFFBG98DA,新福成段,83.37,非都市：特定農業區 ; 非都市編定：農牧用地
RPXOMLPLJHNFFBG98DA,新福成段,9.62,非都市：河川區 ; 非都市編定：水利用地
RPXOMLPLJHNFFBG98DA,新福成段,29.79,非都市：河川區 ; 非都市編定：水利用地
RPXOMLPLJHNFFBG98DA,新福成段,14.65,非都市：河川區 ; 非都市編定：水利用地
RPXOMLPLJHNFFBG98DA,新福成段,31.60,非都市：河川區 ; 非都市編定：水利用地
RPXOMLPLJHNFFBG98DA,新福成段,127.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMKJHNFFBG97EA,壯志段,108.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLMKJHNFFBG97EA,壯志段,32.03,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLMKJHNFFBG97EA,壯志段,67.22,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMKJHNFFBG97EA,壯志段,19.93,非都市：特定農業區 ; 非都市編定：交通用地
RPPNMLPKJHNFFAG97EA,新隘段,91.79,都市：住
SPWNMLSKJHNFFBG56EA,宜興段,24.37,都市：商
RPRPMLOLJHNFFAG38EA,維揚段,30.88,都市：住
RPWNMLOLJHNFFAG68EA,國民二段,9.55,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLOLJHNFFAG68EA,國民二段,40.23,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLOLJHNFFAG68EA,國民二段,83.60,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSOMLNLJHNFFBG18CA,珍子滿力段擺厘小段,16.54,都市：住
RPSOMLQLJHNFFAG58EA,廣安段,1.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSOMLQLJHNFFAG58EA,廣安段,5.83,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLOLJHNFFAG48EA,國民二段,9.55,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLOLJHNFFAG48EA,國民二段,40.23,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLOLJHNFFAG48EA,國民二段,84.97,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQRMLNLJHNFFBG28CA,五峰段,10.19,都市：住
RPUOMLSKJHNFFBG78CA,三鬮段內湖小段,110.80,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLSKJHNFFBG78CA,三鬮段內湖小段,300.50,非都市：特定農業區 ; 非都市編定：農牧用地
RPUOMLSKJHNFFBG78CA,三鬮段內湖小段,2888.20,非都市：特定農業區 ; 非都市編定：農牧用地
RPOPMLTKJHNFFBG38CA,新竹安段,941.14,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLSKJHNFFBG38CA,艮門二段,5.62,都市：住
RPSNMLTKJHNFFBG58CA,和睦段,46.88,都市：住
RPOPMLSJKHNFFAG18CA,大洲三段,1157.10,非都市：特定農業區 ; 非都市編定：農牧用地
RPVPMLRJKHNFFBG88CA,拔雅林三段,19.65,都市：住
RPXNMLOLJHNFFBG68CA,延平段,29.00,都市：農
RPROMLQLJHNFFBG38CA,和平段,39.71,都市：住
RPXNMLOLJHNFFBG68CA,延平段,2.88,都市：農
RPXNMLOLJHNFFBG68CA,延平段,5.31,都市：農
RPXNMLOLJHNFFBG68CA,延平段,78.00,都市：農
RPOPMLNLJHNFFAG77CA,興東段,65.00,都市：商
RPQNMLPKJHNFFAG87CA,三興段,9.61,都市：住
RPQNMLPKJHNFFAG87CA,三興段,171.08,都市：住
RPQNMLTKJHNFFAG28CA,中山段,1715.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPOQMLRJKHNFFBG28CA,拔雅林三段,22.44,都市：住
RPXPMLRJKHNFFBG09CA,拔雅林三段,24.21,都市：住
RPUQMLRJKHNFFBG88CA,拔雅林三段,22.44,都市：住
RPUNMLQKJHNFFAG38CA,國華段,8.65,都市：商
RPTNMLRKJHNFFAG38CA,大吉三段,961.91,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLRKJHNFFAG38CA,大吉三段,1656.40,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLRKJHNFFAG38CA,大吉三段,501.15,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLRKJHNFFAG48CA,大吉三段,2201.54,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLTKJHNFFAG38CA,國民二段,108.99,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMKJHNFFAG97CA,大坑段,380.98,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLSKJHNFFAG18CA,中央段,94.39,都市：住
RPOOMLRKJHNFFAG97CA,仁愛一段,85.20,非都市：特定農業區 ; 非都市編定：甲種建築用地
