鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
宜蘭市,房地(土地+建物),新張段541~570地號,138.68,,特定農業區,甲種建築用地,1060628,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.59,4,2,4,有,無,9200000,53616,,0.0,0,,RPSOMLQKJHNFFBG68EB
宜蘭市,房地(土地+建物),新張段541~570地號,146.38,,特定農業區,甲種建築用地,1060625,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,149.59,4,2,3,有,無,8750000,58493,,0.0,0,,RPTOMLQKJHNFFBG78EB
宜蘭市,房地(土地+建物),新張段541~570地號,146.54,,特定農業區,甲種建築用地,1060625,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.77,4,2,4,有,無,9800000,55439,,0.0,0,,RPUOMLQKJHNFFBG88EB
宜蘭市,房地(土地+建物),新張段541~570地號,133.7,,特定農業區,甲種建築用地,1060624,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,160.8,4,2,4,有,無,8980000,55846,,0.0,0,,RPWOMLQKJHNFFBG09EB
宜蘭市,房地(土地+建物),新張段541~570地號,133.7,,特定農業區,甲種建築用地,1060624,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.44,4,2,4,有,無,9360000,53049,,0.0,0,,RPXOMLQKJHNFFBG56EB
宜蘭市,房地(土地+建物),新張段541~570地號,138.36,,特定農業區,甲種建築用地,1060624,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.77,4,2,4,有,無,9450000,53459,,0.0,0,,RPOPMLQKJHNFFBG38EB
宜蘭市,房地(土地+建物),新張段541~570地號,143.17,,特定農業區,甲種建築用地,1060626,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,149.59,4,2,4,有,無,9600000,64175,,0.0,0,,RPQPMLQKJHNFFBG58EB
宜蘭市,房地(土地+建物),新張段541~570地號,123.92,,特定農業區,甲種建築用地,1060629,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.23,4,2,4,有,無,9000000,52561,,0.0,0,,RPRNMLRKJHNFFBG58EB
宜蘭市,房地(土地+建物),新張段541~570地號,163.54,,特定農業區,甲種建築用地,1060630,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.46,4,2,3,有,無,9600000,55990,,0.0,0,,RPSNMLRKJHNFFBG68EB
宜蘭市,房地(土地+建物),新張段541~570地號,131.46,,特定農業區,甲種建築用地,1060626,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.66,4,2,4,有,無,9300000,52643,,0.0,0,,RPTNMLRKJHNFFBG78EB
宜蘭市,房地(土地+建物),新張段541~570地號,127.13,,特定農業區,甲種建築用地,1060627,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.66,4,2,4,有,無,9100000,51511,,0.0,0,,RPUNMLRKJHNFFBG88EB
宜蘭市,房地(土地+建物),新張段541~570地號,125.36,,特定農業區,甲種建築用地,1060625,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.96,4,2,4,有,無,8880000,51640,,0.0,0,,RPVNMLRKJHNFFBG98EB
