編號,車位類別,車位價格,車位面積平方公尺
RPWQMLLKJHNFFBH78CC,坡道平面,0,30.55
RPXQMLLKJHNFFBH88CC,坡道平面,0,28.51
RPXRMLLKJHNFFBH98CC,坡道平面,0,34.62
RPXNMLLKJHNFFAH48CC,坡道平面,0,
RPTRMLLKJHNFFBH58CC,坡道平面,0,
RPSRMLLKJHNFFBH48CC,坡道平面,0,28.51
RPWRMLLKJHNFFBH88CC,坡道平面,0,28.51
RPWNMLPKJHNFFEH56CC,坡道平面,0,
RPRNMLPKJHNFFBH38CC,坡道平面,0,36.90
RPOOMLQKJHNFFAH18CC,坡道平面,0,
RPQPMLQKJHNFFAH48CC,坡道平面,1800,35.27
RPSOMLSKJHNFFHH07EC,其他,0,26.14
RPSOMLSKJHNFFHH07EC,其他,0,26.14
RPQNMLSKJHNFFGH09CC,坡道平面,0,40.78
RPRNMLRKJHNFFBH58CC,坡道平面,0,36.45
RPQNMLSKJHNFFDH78CC,坡道平面,0,31.70
RPRNMLSKJHNFFDH88CC,坡道平面,0,34.25
RPWRMLTKJHNFFBH07CC,坡道平面,0,62.23
RPXRMLTKJHNFFBH17CC,坡道平面,0,32.58
RPSNMLSKJHNFFAH68CC,坡道平面,0,33.23
RPOSMLTKJHNFFBH98CC,坡道平面,0,30.55
