編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWOMLLKJHNFFAI38CA,34,107.20,住家用,鋼筋混凝土造,72年8月25日,九層,九層
RPWOMLLKJHNFFAI38CA,34,16.64,共有部份,鋼筋混凝土造,72年8月25日,九層,
RPWOMLLKJHNFFAI38CA,34,4.73,共有部份,鋼筋混凝土造,72年8月25日,九層,
RPTNMLKLJHNFFAI97CA,24,29.35,見其他登記事項,鋼筋混凝土造,82年12月27日,八層,七層
RPTNMLKLJHNFFAI97CA,24,6.51,共有部份,鋼筋混凝土造,82年12月27日,八層,
RPTNMLKLJHNFFAI97CA,24,5.54,共有部份,鋼筋混凝土造,82年12月27日,八層,
RPSOMLSKJHNFFAI68CA,20,408.12,見其他登記事項,鋼造,87年4月13日,一層,一層 騎樓
RPQOMLSKJHNFFAI48CA,35,168.04,住商用,鋼筋混凝土造,71年12月16日,三層,一層 二層 三層 騎樓
RPQNMLPKJHNFFAI08CA,34,157.47,住家用,鋼筋混凝土造,73年1月20日,三層,一層 二層 三層 地下層
RPWNMLQKJHNFFAI78CA,,223.12,見其他登記事項,見其他登記事項,106年8月16日,三層,一層 二層 三層 見其他登記事項
RPVNMLQKJHNFFAI68CA,,218.34,見其他登記事項,見其他登記事項,106年8月16日,三層,一層 二層 三層 見其他登記事項
RPROMLMKJHNFFAI97CA,4,267.63,見其他登記事項,見其他登記事項,103年5月6日,三層,一層 二層 三層 見其他登記事項
RPPPMLLLJHNFFAI87CA,1,185.70,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPOPMLLLJHNFFAI77CA,,184.83,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPWOMLLLJHNFFAI48CA,1,178.23,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPXOMLLLJHNFFAI58CA,1,175.87,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPQPMLLLJHNFFAI97CA,1,206.03,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPROMLLLJHNFFAI97CA,1,167.97,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPSOMLLLJHNFFAI08CA,1,167.63,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPQOMLLLJHNFFAI87CA,1,182.06,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPVOMLLLJHNFFAI38CA,1,173.09,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPUOMLLLJHNFFAI28CA,1,168.97,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPTOMLLLJHNFFAI18CA,1,167.84,見其他登記事項,見其他登記事項,106年9月20日,三層,一層 二層 三層 見其他登記事項
RPWOMLTLJHNFFAI66CA,23,128.81,住家用,鋼筋混凝土造,83年7月23日,十一層,十層
RPWOMLTLJHNFFAI66CA,23,38.77,共有部份,鋼筋混凝土造,83年7月23日,十一層,
RPVOMLTLJHNFFAI56CA,20,86.26,住家用,鋼筋混凝土造,87年3月19日,二十二層,六層
RPVOMLTLJHNFFAI56CA,20,15.59,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPVOMLTLJHNFFAI56CA,20,18.09,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPTNMLTLJHNFFAI88CA,22,28.31,住家用,鋼筋混凝土造,85年1月30日,十四層,十三層
RPTNMLTLJHNFFAI88CA,22,7.62,共有部份,鋼筋混凝土造,85年1月31日,十四層,
RPVNMLOLJHNFFAI58CA,23,146.66,住商用,鋼筋混凝土造,83年12月23日,十三層,一層 二層 三層 騎樓
RPVNMLOLJHNFFAI58CA,23,22.42,共有部份,鋼筋混凝土造,83年12月23日,十三層,
RPSOMLPLJHNFFAI48CA,23,82.05,住家用,鋼筋混凝土造,83年11月28日,十二層,九層
RPSOMLPLJHNFFAI48CA,23,30.51,共有部份,鋼筋混凝土造,83年11月28日,十二層,
RPOOMLPJKHNFFAI97CA,40,117.93,住家用,鋼筋混凝土加強磚造,66年7月12日,三層,一層 二層 三層
RPVNMLQKJHNFFAI88EA,23,63.67,住家用,鋼筋混凝土造,83年7月1日,十四層,八層
RPVNMLQKJHNFFAI88EA,23,10.58,共有部份,鋼筋混凝土造,83年7月1日,十四層,
RPVNMLQKJHNFFAI88EA,23,7.73,共有部份,鋼筋混凝土造,83年7月1日,十四層,
RPSNMLMKKHNFFAI08CA,34,35.05,住家用,鋼筋混凝土造,72年7月8日,五層,四層
RPSNMLMKKHNFFAI08CA,34,3.74,共有部份,鋼筋混凝土造,72年7月8日,五層,
RPSNMLMKKHNFFAI08CA,34,2.52,共有部份,鋼筋混凝土造,72年7月8日,五層,
RPWNMLKMJHNFFAI38CA,3,400.53,見其他登記事項,見其他登記事項,103年10月6日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLOJKHNFFAI87CA,1,352.92,見其他登記事項,見其他登記事項,106年3月22日,四層,一層 二層 三層 四層 見其他登記事項
RPRNMLOJKHNFFAI08CA,37,121.93,住商用,鋼筋混凝土加強磚造,69年9月23日,二層,一層 二層 騎樓
RPVNMLTLJHNFFAI09CA,2,86.53,見其他登記事項,見其他登記事項,105年5月10日,十四層,十層
RPVNMLTLJHNFFAI09CA,2,21.24,見其他登記事項,見其他登記事項,105年5月10日,十四層,
RPVNMLTLJHNFFAI09CA,2,42.57,見其他登記事項,見其他登記事項,105年5月10日,十四層,
RPXOMLTLJHNFFAI76CA,23,193.57,住家用,鋼筋混凝土造,83年6月25日,四層,一層 二層 三層 四層
RPQNMLOJKHNFFAI97CA,24,146.53,住商用,鋼筋混凝土造,83年6月6日,十層,一層 二層 三層 騎樓
RPQNMLOJKHNFFAI97CA,24,7.27,共有部份,鋼筋混凝土造,83年6月6日,十層,
RPQNMLOJKHNFFAI97CA,24,15.89,共有部份,鋼筋混凝土造,83年6月6日,十層,
RPSNMLQLJHNFFAI48CA,35,135.24,住家用,鋼筋混凝土加強磚造,71年11月18日,二層,一層 二層
RPPNMLMLJHNFFAI77CA,1,111.51,住家用,見其他登記事項,105年10月27日,十層,六層
RPPNMLMLJHNFFAI77CA,1,25.50,見其他登記事項,見其他登記事項,105年10月27日,十層,
RPPNMLMLJHNFFAI77CA,1,25.51,見其他登記事項,見其他登記事項,105年10月27日,十層,
RPOPMLOLJHNFFAI08CA,17,758.61,見其他登記事項,見其他登記事項,90年2月22日,二層,一層 二層
RPXNMLOLJHNFFAI78CA,46,78.84,住家用,鋼筋混凝土加強磚造,60年10月10日,二層,一層 二層
RPPOMLPLJHNFFAI18CA,22,83.81,住家用,鋼筋混凝土造,84年8月16日,十八層,十七層
RPPOMLPLJHNFFAI18CA,22,29.05,共有部份,鋼筋混凝土造,84年8月16日,十九層,
RPTNMLOLJHNFFAI38CA,27,28.06,住家用,鋼筋混凝土造,80年5月31日,六層,三層
RPTNMLOLJHNFFAI38CA,27,7.47,共有部份,鋼筋混凝土造,80年5月31日,六層,
RPUNMLQKJHNFFAI58CA,26,23.89,住家用,鋼筋混凝土造,80年12月27日,六層,三層
RPUNMLQKJHNFFAI58CA,26,5.89,共有部份,鋼筋混凝土造,80年12月27日,六層,
RPSNMLKLJHNFFAI87CA,54,34.60,住家用,木造,52年10月1日,一層,一層
RPWNMLKLJHNFFAI28CA,24,118.48,住家用,鋼筋混凝土造,82年7月23日,七層,三層
RPWNMLKLJHNFFAI28CA,24,38.82,共有部份,鋼筋混凝土造,82年7月23日,七層,
RPVNMLKLJHNFFAI18CA,22,85.62,住家用,鋼筋混凝土造,84年10月4日,十一層,一層
RPVNMLKLJHNFFAI18CA,22,17.31,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPVNMLKLJHNFFAI18CA,22,10.57,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPVNMLRKJHNFFAI78CA,23,126.18,住家用,鋼筋混凝土造,83年7月1日,十四層,十一層
RPVNMLRKJHNFFAI78CA,23,20.23,共有部份,鋼筋混凝土造,83年7月1日,十四層,
RPVNMLRKJHNFFAI78CA,23,15.23,共有部份,鋼筋混凝土造,83年7月1日,十四層,
RPTNMLQKJHNFFAI48CA,18,67.11,住家用,鋼筋混凝土造,88年7月17日,十一層,九層
RPTNMLQKJHNFFAI48CA,18,9.30,共有部份,鋼筋混凝土造,88年7月17日,十一層,
RPTNMLQKJHNFFAI48CA,18,9.32,共有部份,鋼筋混凝土造,88年7月17日,十二層,
RPXNMLRKJHNFFAI98CA,31,6.33,共有部份,鋼筋混凝土造,75年12月31日,五層,
RPXNMLRKJHNFFAI98CA,31,94.86,住家用,鋼筋混凝土造,75年12月31日,五層,一層
RPXNMLRKJHNFFAI98CA,31,12.23,共有部份,鋼筋混凝土造,75年12月31日,五層,
RPWNMLRKJHNFFAI88CA,1,229.40,住家用,見其他登記事項,105年6月24日,四層,一層 二層 三層 四層
RPPNMLLLJHNFFAI67CA,46,6.33,住家用,見使用執照,60年8月25日,二層,
RPPOMLQKJHNFFAI18CA,45,84.04,住家用,鋼筋混凝土加強磚造,61年7月10日,二層,一層 二層 騎樓
RPTNMLLLJHNFFAI08CA,2,82.39,住家用,見其他登記事項,106年9月20日,九層,七層
RPTNMLLLJHNFFAI08CA,2,39.18,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPTNMLLLJHNFFAI08CA,2,16.50,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPUNMLLLJHNFFAI18CA,2,48.30,住家用,見其他登記事項,106年9月20日,九層,四層
RPUNMLLLJHNFFAI18CA,2,14.65,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPUNMLLLJHNFFAI18CA,2,22.31,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPVNMLLLJHNFFAI28CA,2,64.76,住家用,見其他登記事項,106年9月20日,九層,五層
RPVNMLLLJHNFFAI28CA,2,14.65,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPVNMLLLJHNFFAI28CA,2,28.02,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPOOMLLLJHNFFAI67CA,2,104.69,住家用,見其他登記事項,106年9月20日,九層,三層
RPOOMLLLJHNFFAI67CA,2,47.75,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPOOMLLLJHNFFAI67CA,2,16.50,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPWNMLLLJHNFFAI38CA,2,85.49,住家用,見其他登記事項,106年9月20日,九層,三層
RPWNMLLLJHNFFAI38CA,2,18.26,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPWNMLLLJHNFFAI38CA,2,37.00,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPXNMLLLJHNFFAI48CA,2,104.69,住家用,見其他登記事項,106年9月20日,九層,六層
RPXNMLLLJHNFFAI48CA,2,47.75,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPXNMLLLJHNFFAI48CA,2,16.50,見其他登記事項,見其他登記事項,106年9月20日,九層,
RPXNMLKLJHNFFAI38CA,46,74.23,住家用,木造,61年2月1日,二層,一層 二層
RPSNMLMLJHNFFAI28EA,33,46.30,商業用,鋼筋混凝土造,73年8月30日,二層,二層
RPSNMLMLJHNFFAI28EA,33,36.99,商業用,鋼筋混凝土造,73年8月30日,二層,
RPSNMLMLJHNFFAI28EA,33,29.34,共有部份,鋼筋混凝土造,73年8月30日,二層,
RPSNMLMLJHNFFAI28EA,33,36.01,共有部份,鋼筋混凝土造,73年8月30日,二層,
RPSNMLMLJHNFFAI28EA,33,49.04,商業用,鋼筋混凝土造,73年8月30日,二層,二層
RPSNMLMLJHNFFAI28EA,33,39.01,共有部份,鋼筋混凝土造,73年8月30日,二層,
RPSNMLRKJHNFFAI48CA,25,267.49,住商用,鋼筋混凝土造,82年5月26日,九層,一層 二層 三層 騎樓
RPSNMLRKJHNFFAI48CA,25,12.78,共有部份,鋼筋混凝土造,82年5月26日,九層,
RPSNMLRKJHNFFAI48CA,25,8.95,共有部份,鋼筋混凝土造,82年5月26日,九層,
RPVNMLQJKHNFFAI68CA,48,141.59,住家用,鋼筋混凝土加強磚造,58年8月20日,二層,一層 二層
RPQOMLSKJHNFFAI68EA,47,90.44,住家用,鋼筋混凝土加強磚造,60年2月15日,二層,一層 二層 騎樓
RPQNMLMLJHNFFAI87CA,24,92.64,住家用,鋼筋混凝土造,82年12月29日,十二層,十二層
RPQNMLMLJHNFFAI87CA,24,21.48,共有部份,鋼筋混凝土造,82年12月29日,十二層,
RPXOMLOLJHNFFAI88CA,38,119.75,住商用,鋼筋混凝土加強磚造,68年9月25日,二層,一層 二層 騎樓
RPSNMLRJKHNFFAI48CA,48,136.79,住家用,鋼筋混凝土加強磚造,58年8月20日,二層,一層 二層
RPOOMLKLJHNFFAI57CA,25,106.80,住家用,鋼筋混凝土造,81年6月26日,十五層,十四層
RPOOMLKLJHNFFAI57CA,25,20.62,共有部份,鋼筋混凝土造,81年6月26日,十五層,
RPOOMLKLJHNFFAI57CA,25,19.39,共有部份,鋼筋混凝土造,81年6月26日,十五層,
RPWNMLRKJHNFFAI09EA,33,101.45,住家用,鋼筋混凝土造,73年6月23日,五層,二層
RPWNMLRKJHNFFAI09EA,33,7.67,共有部份,鋼筋混凝土造,73年6月23日,五層,
RPPNMLRKJHNFFAI38EA,8,239.11,見其他登記事項,見其他登記事項,99年1月15日,四層,一層 二層 三層 四層
RPSOMLRKJHNFFAI58CA,44,90.42,住家用,鋼筋混凝土加強磚造,62年7月10日,二層,一層 二層
