鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
關西鎮,土地,下橫坑段721~750地號,5920.0,,山坡地保育區,林業用地,1061217,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,422,,0.0,0,,RPWNMLPKJHNFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家七路91~120號,28.25,住,,,1061207,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041007,164.95999999999998,3,2,2,有,有,11000000,66683,坡道平面,28.16,0,,RPWOMLMKJHNFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段61~90號,753.78,住,,,1061127,土地1建物40車位42,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060126,3602.85,0,0,1,無,無,270000000,74941,坡道平面,959.4,0,整棟出售。,RPXPMLQKJHNFFBJ66CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興二街151~180號,27.84,住,,,1061203,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050729,182.26999999999998,3,2,2,有,有,10580000,60302,坡道平面,46.62,2400000,,RPWQMLQKJHNFFBJ66CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利六街31~60號,15.93,住,,,1061211,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931018,179.26999999999998,0,0,0,無,有,10000000,55782,坡道平面,0.0,0,,RPQOMLTKJHNFFBJ78CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路121~150號,20.36,商,,,1061210,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920827,150.20999999999998,3,2,2,有,有,8800000,58585,坡道平面,0.0,0,1.含增建或未登記建物 2.權利人共兩人,RPTQMLMLJHNFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市民權街17巷1~30號,7.91,商,,,1061217,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840420,147.96,3,2,2,有,有,5550000,37510,坡道平面,0.0,0,,RPWPMLQLJHNFFBJ66CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮中興路四段1030巷31~60號,146.41,住,,,1061225,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0840117,280.04,3,2,2,有,無,8000000,28567,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLMKJHNFFCJ08CA
竹東鎮,土地,明星段241~270地號,99.35,住,,,1061218,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2250000,22647,,0.0,0,,RPOOMLMKJHNFFCJ97CA
寶山鄉,土地,明湖段1381~1410地號,238.37,,山坡地保育區,丙種建築用地,1061210,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3130000,13131,,0.0,0,鄰近高壓電塔,RPTOMLPKJHNFFCJ78CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮康莊街26巷1~30號,215.17,,山坡地保育區,丙種建築用地,1061210,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0860128,216.91,6,2,3,有,有,9360000,43152,,0.0,0,,RPPNMLQKJHNFFCJ38CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮林森路41巷1~30號,28.0,住,,,1061218,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,64.64,1,1,1,有,無,2000000,30941,,0.0,0,,RPTNMLRKJHNFFCJ88CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮自由街120巷1~30號,22.62,住,,,1061218,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851224,139.66,5,2,2,有,有,4900000,35085,,0.0,0,,RPOOMLSKJHNFFCJ58CA
芎林鄉,土地,石潭段691~720地號,94.99,,山坡地保育區,丙種建築用地,1061227,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,842,,0.0,0,,RPQOMLTKJHNFFCJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮南寧路98巷5弄1~30號,40.69,住,,,1061123,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830730,141.72,3,2,2,有,有,5200000,36692,一樓平面,0.0,0,,RPPNMLMLJHNFFCJ08CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮北興路三段241~270號,45.05,住,,,1060913,土地1建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971205,260.19,4,2,2,有,有,10470000,40240,坡道平面,0.0,0,,RPOOMLPLJHNFFCJ38CA
五峰鄉,土地,花園段361~390地號,23531.0,,山坡地保育區,農牧用地,1060926,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,340,,0.0,0,,RPRNMLQLJHNFFCJ68CA
尖石鄉,土地,錦屏段211~240地號,3785.0,,山坡地保育區,農牧用地,1061227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,132,,0.0,0,,RPPNMLTLJHNFFCJ78CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮北興路三段481~510號,16.03,住,,,1061214,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820925,105.84,3,2,2,有,有,3700000,34958,,0.0,0,,RPXNMLTLJHNFFCJ96CA
