編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLRKJHNFFBT27CA,3,239.12,住家用,鋼筋混凝土造,104年6月8日,二層,見其他登記事項
RPUPMLKMJHNFFAT86CA,38,96.00,住商用,加強磚造,69年2月29日,二層,一層 二層 騎樓
RPQNMLMKJHNFFAT88CA,44,68.76,住家用,鋼筋混凝土加強磚造,63年3月19日,二層,一層 二層
RPOPMLMKJHNFFCT09CA,18,19.11,住家用,鋼筋混凝土造,88年11月30日,五層,四層
RPOPMLMKJHNFFCT09CA,18,7.47,見其他登記事項,鋼筋混凝土造,88年11月30日,五層,
RPVNMLMKJHNFFAT76CA,35,86.52,國民住宅,鋼筋混凝土造,71年10月30日,五層,三層
RPVNMLMKJHNFFAT76CA,35,.00,見其他登記事項,鋼筋混凝土造,71年10月30日,五層,
RPWNMLMKJHNFFAT86CA,18,94.05,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十二層
RPWNMLMKJHNFFAT86CA,18,26.89,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPROMLLMJHNFFCT76CA,4,109.12,住家用,見其他登記事項,102年12月2日,二層,一層 二層
RPSNMLMKJHNFFDT76CA,40,129.88,店舖、住宅,鋼筋混凝土造,66年9月8日,三層,一層 二層 三層 騎樓
RPQOMLMKJHNFFAT98CA,40,73.60,住家用,加強磚造,66年6月20日,二層,一層 二層
RPXNMLMKJHNFFAT96CA,23,88.76,住家用,鋼筋混凝土造,84年1月20日,七層,一層
RPXNMLMKJHNFFAT96CA,23,21.63,見其他登記事項,鋼筋混凝土造,84年1月20日,七層,
RPTNMLPKJHNFFDT17CA,40,91.04,住宅,加強磚造,67年6月5日,二層,一層 二層
RPQNMLNLJHNFFDT76CA,,208.85,住宅,鋼筋混凝土構造,106年10月11日,四層,一層 二層 三層 四層
RPQNMLNJKHNFFCT56CA,41,67.20,住家用,加強磚造,66年5月5日,二層,一層 二層
RPSNMLLLJHNFFDT76CA,37,73.92,住宅,加強磚造,69年10月3日,二層,一層 二層 屋頂突出物
RPVOMLMKJHNFFAT96DA,,96.72,住商用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓
RPSNMLMKJHNFFFT96CA,35,84.80,,鋼筋混凝土造,71年6月10日,二層,一層 二層
RPXNMLMLJHNFFAT17DA,40,64.11,住家用,磚造,67年6月2日,一層,一層
RPUNMLNLJHNFFDT17CA,,208.85,住宅,鋼筋混凝土構造,106年10月11日,四層,一層 二層 三層 四層
RPVNMLNLJHNFFDT27CA,,208.85,住宅,鋼筋混凝土構造,106年10月11日,四層,一層 二層 三層 四層
RPWNMLSKJHNFFCT67CA,22,80.51,住家用,鋼筋混凝土造,84年7月18日,十二層,二層
RPWNMLSKJHNFFCT67CA,22,22.78,見其他登記事項,鋼筋混凝土造,84年7月18日,十二層,
RPQOMLPLJHNFFDT07CA,24,135.11,住宅,鋼筋混凝土造,82年6月12日,四層,一層 二層 三層 四層
RPVNMLPKJHNFFCT27CA,40,76.80,住家用,加強磚造,66年5月5日,二層,一層 二層
RPRNMLNLJHNFFAT56CA,2,201.34,住家用,鋼筋混凝土造,105年5月4日,三層,一層 二層 三層 屋頂突出物
RPPNMLLLJHNFFCT98CA,22,142.90,住商用,鋼筋混凝土造,85年1月9日,八層,一層 二層 三層 騎樓
RPPNMLLLJHNFFCT98CA,22,41.25,見其他登記事項,鋼筋混凝土造,85年1月9日,八層,
