編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPOOMLMKJHNFFAV98CA,知本段,988.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLMKJHNFFAV09CA,新園段,452.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLMKJHNFFAV98CA,知本段,1800.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMKJHNFFAV09CA,知本段,150.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLMKJHNFFAV17CA,台東段,154.00,都市：住
RPRNMLPKJHNFFAV86CA,富岡段,84.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMKJHNFFAV98CA,富岡段,69.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMKJHNFFAV56CA,台東段,111.00,都市：住
RPPNMLRKJHNFFCV07CA,錦富段,3973.27,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLRKJHNFFCV07CA,錦富段,8161.63,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLMKJHNFFAV76CA,豐年段,55.76,都市：住
RPQNMLPKJHNFFAV76CA,台東段,106.00,都市：住
RPQNMLPKJHNFFAV76CA,台東段,20.00,都市：住
RPPNMLLJKHNFFCV09CA,溪埔段,207.09,都市：工
RPPNMLTKJHNFFDV47DA,尚武段,77.03,都市：住
RPQNMLQKJHNFFDV17CA,秀山段,8.08,都市：其他
RPQNMLQKJHNFFDV17CA,秀山段,.00,都市：其他
RPPNMLQKJHNFFDV07CA,秀山段,10.39,都市：其他
RPPNMLPKJHNFFDV96CA,秀山段,10.39,都市：其他
RPPNMLQKJHNFFDV07CA,秀山段,.00,都市：其他
RPPNMLPKJHNFFDV96CA,秀山段,.00,都市：其他
RPPNMLMKJHNFFBV09CA,萬年段,84.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPKJHNFFAV07CA,自強段,54.03,都市：住
RPTNMLRKJHNFFAV27CA,知本段,479.50,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLPKJHNFFAV47CA,龍過脈段,2257.05,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLPKJHNFFAV47CA,龍過脈段,5568.43,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLSKJHNFFBV27CA,田組段,4078.09,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLRKJHNFFAV86CA,台東段,147.00,都市：住
RPPNMLRKJHNFFAV86CA,台東段,123.00,都市：住
RPVNMLPKJHNFFAV27CA,永豐段,6712.37,都市：農
