編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLRKJHNFFAX27DA,19,107.12,住家用,鋼筋混凝土造,87年7月23日,十層,十層
RPQNMLRKJHNFFAX27DA,19,87.35,見其他登記事項,鋼筋混凝土造,87年7月23日,十層,
RPXNMLSKJHNFFAX97CA,49,89.80,住家用,見其他登記事項,57年10月31日,三層,一層 二層 三層
RPXNMLSKJHNFFAX97CA,39,26.40,住家用,鋼筋混凝土加強磚造,67年8月11日,二層,一層 二層
RPVNMLSKJHNFFAX77CA,20,165.13,住家用,鋼筋混凝土造,86年7月18日,三層,一層 二層 三層 電梯樓梯間
RPPNMLLJKHNFFAX09CA,2,188.94,住家用,鋼筋混凝土造,104年12月21日,三層,一層 二層 三層
RPPNMLSLJHNFFAX37DA,,207.10,住家用,鋼筋混凝土造,106年11月16日,三層,一層 二層 三層
RPWNMLKMJHNFFAX37DA,,241.66,住家用,鋼筋混凝土造,106年11月24日,三層,一層 二層 三層
RPSNMLMLJHNFFAX96CA,11,126.96,見其他登記事項,鋼筋混凝土造,95年6月29日,十四層,九層
RPSNMLMLJHNFFAX96CA,11,86.05,共用部份,鋼筋混凝土造,95年6月29日,十四層,
RPRNMLKMJHNFFAX86DA,,223.11,住家用,鋼筋混凝土造,106年11月24日,三層,一層 二層 三層
RPUNMLKMJHNFFAX17DA,,241.66,住家用,鋼筋混凝土造,106年11月24日,三層,一層 二層 三層
RPOOMLKMJHNFFAX66DA,,238.26,住家用,鋼筋混凝土造,106年11月24日,三層,一層 二層 三層
RPPOMLSKJHNFFAX27CA,,46.13,住家用,見其他登記事項,,一層,
RPPNMLMLJHNFFAX86EA,45,88.12,住商用,鋼筋混凝土加強磚造,61年12月5日,四層,一層 二層 三層 四層
RPPNMLKMJHNFFAX56CA,22,93.46,住家用,鋼筋混凝土造,85年3月8日,十層,六層
RPPNMLKMJHNFFAX56CA,22,26.56,見其他登記事項,鋼筋混凝土造,85年3月8日,十層,
