編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPOMLQKJHNFFAX27EA,興仁段,76.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMKJHNFFAX76DA,五福段,1428.20,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLRKJHNFFAX27DA,光榮段,.15,都市：其他
RPQNMLRKJHNFFAX27DA,光榮段,5.04,都市：其他
RPQNMLRKJHNFFAX27DA,光榮段,.27,都市：其他
RPQNMLRKJHNFFAX27DA,光榮段,1.19,都市：其他
RPQNMLRKJHNFFAX27DA,光榮段,1.07,都市：其他
RPQNMLRKJHNFFAX27DA,光榮段,5.79,都市：其他
RPQNMLRKJHNFFAX27DA,光榮段,.59,都市：其他
RPQNMLRKJHNFFAX27DA,光榮段,1.87,都市：其他
RPQNMLRKJHNFFAX27DA,光榮段,.43,都市：其他
RPQNMLRKJHNFFAX27DA,光榮段,.06,都市：其他
RPUNMLQKJHNFFAX47CA,興崁段,790.14,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLMKJHNFFAX07CA,沙港北段,70.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLQKJHNFFAX37EA,大池段,271.66,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLSKJHNFFAX97CA,馬公段,53.00,都市：住
RPXNMLSKJHNFFAX97CA,馬公段,28.80,都市：住
RPSNMLMKJHNFFAX96DA,文東段,339.19,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLMKJHNFFAX96DA,文東段,6.11,非都市：一般農業區 ; 非都市編定：交通用地
RPSNMLRKJHNFFAX37CA,通梁東段,480.20,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKMJHNFFAX76DA,鼎灣新段,1065.12,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLSKJHNFFAX77EA,二崁南段,1527.14,非都市：風景區 ; 非都市編定：農牧用地
RPTNMLSKJHNFFAX77EA,二崁南段,596.91,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRKJHNFFAX27CA,六合段,272.23,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLRKJHNFFAX27CA,六合段,18.04,非都市：一般農業區 ; 非都市編定：交通用地
RPTNMLRKJHNFFAX47CA,四維段,371.58,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLQKJHNFFAX96CA,湖西北段,426.85,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTKJHNFFAX47EA,後寮段,199.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLSKJHNFFAX57DA,西溪新段,115.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLSKJHNFFAX77CA,四維段,34.28,非都市：一般農業區 ; 非都市編定：交通用地
RPVNMLSKJHNFFAX77CA,四維段,110.47,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLNLJHNFFAX96EA,北極段,96.99,都市：住
RPRNMLSKJHNFFAX57EA,山水南段,190.51,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLSKJHNFFAX57EA,山水南段,19.83,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLKLJHNFFAX09CA,文寮段,202.82,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKLJHNFFAX09CA,文寮段,208.40,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKLJHNFFAX09CA,文寮段,208.15,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKLJHNFFAX09CA,文寮段,208.15,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKLJHNFFAX09CA,文寮段,249.39,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLQKJHNFFAX77EA,通梁中段,113.45,都市：住
RPSNMLSKJHNFFAX67EA,講美段,245.36,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLSKJHNFFAX67EA,講美段,113.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLPLJHNFFAX67DA,文石段,190.20,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLPLJHNFFAX67DA,文石段,190.20,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLPLJHNFFAX67DA,文石段,190.20,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLPLJHNFFAX67DA,文石段,190.20,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLSKJHNFFAX67CA,二崁南段,474.93,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLLMJHNFFAX86DA,鎮海新段,101.12,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLLMJHNFFAX86DA,鎮海新段,241.56,非都市： ; 非都市編定：
RPPNMLLJKHNFFAX09CA,通梁中段,153.74,都市：住
RPQNMLQJKHNFFAX17DA,六合段,251.70,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLQJKHNFFAX17DA,六合段,18.04,非都市：一般農業區 ; 非都市編定：交通用地
RPQOMLSKJHNFFAX37CA,國宅段,301.78,都市：住
RPPNMLSLJHNFFAX37DA,文東段,150.49,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLSLJHNFFAX37DA,文東段,44.56,非都市：一般農業區 ; 非都市編定：交通用地
RPWNMLKMJHNFFAX37DA,中山段,124.20,都市：住
RPSNMLMLJHNFFAX96CA,文光段,31.66,都市：住
RPRNMLKMJHNFFAX86DA,中山段,134.24,都市：住
RPUNMLKMJHNFFAX17DA,中山段,130.38,都市：住
RPOOMLKMJHNFFAX66DA,中山段,130.04,都市：住
RPRNMLTKJHNFFAX47CA,山水東段,1852.19,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLSKJHNFFAX27CA,通梁中段,108.88,都市：住
RPPNMLMLJHNFFAX86EA,馬公段,14.00,都市：商
RPPNMLMLJHNFFAX86EA,馬公段,14.00,都市：商
RPRNMLMLJHNFFAX86CA,西溪新段,1753.71,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLJKHNFFAX66CA,北寮新段,358.42,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLLJKHNFFAX66CA,北寮新段,23.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLKMJHNFFAX56CA,光榮段,13.76,都市：商
