絪腹,跋琿竚,簿锣縩(キよそへ),ㄏノだ跋┪絪﹚
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPRNMLKLJIMFFAB07CA,穝琿,26.20,常カ坝
RPSNMLKLJIMFFAB17CA,穝琿,26.20,常カ坝
RPUNMLKLJIMFFAB37CA,穝琿,20.38,常カ坝
RPTNMLKLJIMFFAB27CA,穝琿,20.38,常カ坝
RPVNMLKLJIMFFAB47CA,穝琿,18.26,常カ坝
RPWNMLKLJIMFFAB57CA,穝琿,21.43,常カ坝
RPRPMLOKJIMFFAB57CA,爵繷琿,2.82,常カ坝
RPPPMLOKJIMFFAB37CA,陈堕繷琿,21.75,常カ
RPVNMLQKJIMFFAB97CA,狥狜琿琿,19.82,常カ
RPVNMLQKJIMFFAB97CA,狥狜琿琿,18.14,常カ坝
SPVNMLQKJIMFFAB08CA,狥狜琿琿,24.26,常カ
SPVNMLQKJIMFFAB08CA,狥狜琿琿,22.21,常カ坝
RPVNMLNKJIMFFAB67CA,郴爵繷琿,26.62,常カ
RPPOMLKLJIMFFAB96CA,穝琿,25.93,常カ坝
RPQOMLKLJIMFFAB07CA,穝琿,20.38,常カ坝
RPOOMLKLJIMFFAB86CA,穝琿,21.43,常カ坝
RPXNMLKLJIMFFAB67CA,穝琿,21.43,常カ坝
RPROMLKLJIMFFAB17CA,穝琿,18.26,常カ坝
RPUOMLMLJIMFFAB67CA,爵繷琿,18.15,常カ
RPUOMLMLJIMFFAB67CA,爵繷琿,.64,常カ
RPRNMLQKJIMFFAB57CA,陈堕繷琿,9.90,常カ
RPSOMLKLJIMFFAB27CA,穝琿,21.43,常カ坝
RPWQMLKLJIMFFAB87CA,俉琿,2.49,常カ
RPWOMLKLJIMFFAB67CA,キチ琿琿,26.79,常カ
RPWOMLKLJIMFFAB67CA,いチ琿琿,2.32,常カ
RPQOMLMLJIMFFAB27CA,キ琿,22.00,常カ
RPQOMLMLJIMFFAB27CA,キ琿,82.00,常カ
RPQOMLMLJIMFFAB27CA,キ琿,7.23,常カ
RPPNMLPKJIMFFAB27CA,く稲琿き琿,9.62,常カ坝
RPVNMLSLJIMFFAB28CA,窾琿琿,9.27,常カ
RPVNMLSLJIMFFAB28CA,タ竡琿琿,.69,常カ
RPVNMLSLJIMFFAB28CA,郴爵繷琿,3.65,常カ
RPTOMLOJKIMFFAB67CA,穝琿,11.09,常カ坝
RPUNMLMKKIMFFAB57CA,丢琿き琿,30.15,常カ
RPUNMLMKKIMFFAB57CA,獺竡琿き琿,1.90,常カ
RPTOMLLJKIMFFAB37CA,爵繷琿,3.13,常カ坝
RPUOMLLJKIMFFAB47CA,畐琿,3.04,常カ坝
