編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPVOMLOKJIMFFCB28CC,坡道平面,0,32.17
RPVOMLOKJIMFFCB28CC,坡道平面,0,32.17
RPTTMLPKJIMFFBB58CC,坡道平面,0,34.09
RPOPMLOKJIMFFAB47CC,坡道平面,0,29.00
RPOOMLPKJIMFFCB67CC,坡道平面,0,
RPQPMLPKJIMFFAB77CC,坡道平面,0,
RPQPMLPKJIMFFAB77CC,坡道機械,0,
RPQPMLPKJIMFFAB77CC,坡道平面,0,
RPTPMLPKJIMFFAB08CC,坡道平面,0,
RPWNMLQKJIMFFAB28CC,坡道平面,0,33.40
RPSOMLQKJIMFFAB97CC,坡道機械,0,7.29
RPQPMLRKJIMFFBB08CC,坡道平面,0,15.04
RPQPMLRKJIMFFBB08CC,坡道機械,0,9.32
RPTNMLQKJIMFFCB18CC,坡道平面,0,28.75
RPTNMLQKJIMFFCB18CC,坡道平面,0,32.17
RPPRMLRKJIMFFCB28CC,坡道平面,0,15.20
RPSNMLQKJIMFFCB08CC,坡道平面,0,28.75
RPSNMLQKJIMFFCB08CC,坡道平面,0,32.17
RPQOMLRKJIMFFBB97CC,升降機械,0,
RPXNMLPKJIMFFIB56DC,坡道機械,0,18.55
RPSOMLLLJIMFFCB77CC,坡道平面,0,
RPXOMLLLJIMFFCB28CC,坡道平面,0,12.40
RPXOMLLLJIMFFCB28CC,坡道平面,0,12.40
RPVOMLLLJIMFFCB08CC,坡道平面,0,
RPPPMLLLJIMFFCB57CC,坡道平面,0,26.94
RPRPMLLLJIMFFCB77CC,坡道機械,2000,14.60
RPWQMLLLJIMFFBB28CC,坡道平面,3500,27.23
RPVQMLLLJIMFFBB18CC,坡道平面,0,27.90
RPQRMLLLJIMFFBB77CC,坡道平面,0,
RPRQMLMLJIMFFCB97CC,坡道平面,0,16.69
RPVNMLNLJIMFFCB18CC,坡道平面,0,
RPPOMLNLJIMFFCB67CC,坡道平面,0,
RPPOMLNLJIMFFCB67CC,坡道平面,0,
