絪腹,跋琿竚,簿锣縩(キよそへ),ㄏノだ跋┪絪﹚
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPQNMLOKJIMFFCC57CA,穝穦琿,25.85,常カ
RPOOMLOKJIMFFCC47CA,方环琿,19.63,常カ
RPUNMLPKJIMFFCC08CA,方环琿,36.24,常カ
RPQOMLOKJIMFFBC57CA,瞏琿,19.17,常カ
RPRNMLSKJIMFFCC08CA,琿,11.27,常カ坝
RPSPMLMLJIMFFBC77CA,┑キ琿,10.19,常カ坝
RPPNMLTKJIMFFCC97CA,方环琿,29.12,常カ
RPTOMLSJKIMFFCC38CA,﹁﹚琿,28.00,常カ
RPTOMLSJKIMFFCC38CA,﹁﹚琿,3.33,常カㄤ
RPTOMLSJKIMFFCC38CA,﹁﹚琿,13.33,常カㄤ
RPXNMLOKJIMFFBC18CA,兼琿,.55,常カ
RPXNMLOKJIMFFBC18CA,兼琿,5.52,常カ
RPUNMLKLJIMFFCC67CA,紈琿,16.75,常カ坝
RPROMLOKJIMFFBC67CA,狥琿,16.50,常カ坝
RPROMLOKJIMFFBC67CA,狥琿,5.75,常カ坝
RPTNMLKMJIMFFCC67CA,匪繷琿,34.55,常カ
RPPNMLNJKIMFFCC37CA,沉琿,35.70,常カ
RPQOMLTLJIMFFCC28CA,穢穢琿狥墩琿,34.75,常カ
RPUNMLTLJIMFFCC58CA,き棒琿き棒琿,48.20,常カ
RPPNMLSJKIMFFCC87CA,芠琿,10.00,常カ坝
RPPNMLSJKIMFFCC87CA,芠琿,5.20,常カ坝
RPXOMLNLJIMFFCC38CA,き棒琿き棒琿,29.64,常カ
RPSNMLNLJIMFFCC77CA,猌盵琿ず糳琿,25.00,常カ
RPVOMLNLJIMFFCC18CA,紈琿,16.25,常カ坝
RPVOMLNLJIMFFCC18CA,紈琿,1.75,常カ坝
SPVOMLNLJIMFFCC28CA,紈琿,16.25,常カ坝
SPVOMLNLJIMFFCC28CA,紈琿,1.75,常カ坝
RPWNMLRKJIMFFCC48CA,方环琿,21.90,常カ
RPVNMLNLJIMFFCC08CA,ね勇琿翠琿,.39,獶常カ℡玂▅跋 ; 獶常カ絪﹚贺縱ノ
