絪腹,跋琿竚,簿锣縩(キよそへ),ㄏノだ跋┪絪﹚
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPOMLPKJIMFFAE67CA,纒い琿,12.90,常カ坝
RPROMLPKJIMFFAE87CA,玡畃琿,17.49,常カ
RPROMLPKJIMFFAE87CA,玡畃琿,.09,常カ
RPUNMLTLJIMFFBE68CA,狶紈﹛琿,8.46,常カ坝
RPUNMLTLJIMFFBE68CA,狶紈﹛琿,.01,常カㄤ
RPUNMLTLJIMFFBE68CA,狶紈﹛琿,.02,常カㄤ
RPQOMLPJKIMFFAE77CA,獵琿,28.72,常カ
RPWOMLKLJIMFFBE08CA,璬瑆琿,4.25,常カ坝
RPXNMLLLJIMFFAE08CA,獵琿,63.52,常カ坝
RPPOMLSLJIMFFBE18CA,狶紈﹛琿琿,15.52,常カ
RPUNMLSLJIMFFBE58CA,狶紈﹛琿,7.73,常カ
RPUNMLSLJIMFFBE58CA,狶紈﹛琿,7.73,常カ
RPUNMLSLJIMFFBE58CA,狶紈﹛琿,.33,常カㄤ
RPUNMLSLJIMFFBE58CA,狶紈﹛琿,.33,常カㄤ
RPUNMLSLJIMFFBE58CA,狶紈﹛琿,.02,常カㄤ
RPUNMLSLJIMFFBE58CA,狶紈﹛琿,.02,常カㄤ
RPROMLLJKIMFFBE57CA,狶竧琿,36.34,常カ
RPVNMLNKJIMFFAE97CA,纒地琿琿,6.21,常カ坝
RPSNMLKLJIMFFAE47CA,ず暴琿琿,7.99,常カ
RPWNMLSJKIMFFAE58CA,獵琿,25.39,常カ
RPSNMLLKKIMFFBE67CA,タゅ琿,10.64,常カ坝
RPROMLNKJIMFFCE87CA,稲竤琿,14.77,常カ坝
RPXPMLPJKIMFFBE68CA,タē琿,79.93,常カ
RPVPMLPJKIMFFBE48CA,穝砍琿琿,7.91,常カ坝
RPTPMLMLJIMFFCE18CA,琿,29.60,常カ
RPXNMLKMJIMFFCE28CA,翠醂琿,78.00,常カ
RPQOMLQKJIMFFDE18CA,芖ず琿腳痌肪琿,77.00,常カ
RPQPMLMKKIMFFBE77CA,狶紈﹛琿,28.97,常カ坝
RPPNMLQKJIMFFCE87CA,Щ琿,3.97,常カ
RPVNMLOKJIMFFDE38CA,滦供琿滦供琿,153.00,常カ坝
SPVNMLOKJIMFFDE48CA,滦供琿滦供琿,134.00,常カ坝
RPRQMLOKJIMFFEE38CA,睲伦琿,26.93,常カ
RPTQMLOKJIMFFEE58CA,籄琿琿,14.15,常カ
RPUPMLQKJIMFFDE68CA,翠琿琿,11.81,常カ坝
RPWOMLSLJIMFFCE98CA,┍马琿琿,10.64,常カ坝
RPQQMLOKJIMFFEE28CA,藎考琿,31.81,常カ
RPSQMLOKJIMFFEE48CA,睲伦琿,19.98,常カ
RPVOMLSLJIMFFCE88CA,┍马琿琿,12.61,常カ坝
RPRQMLKLJIMFFDE97CA,粪繷琿,19.64,常カ
RPPNMLLLJIMFFDE57CA,粪繷琿,109.20,常カ坝
RPTNMLRKJIMFFDE48CA,翠琿せ琿,3.10,常カ坝
RPTNMLRKJIMFFDE48CA,翠琿せ琿,.20,常カㄤ
RPOOMLPKJIMFFEE97CA,罚常琿琿,10.37,常カ
RPUOMLNKJIMFFEE38CA,琿琿,59.00,常カ
RPTNMLPKJIMFFEE38CA,睲伦琿,15.38,常カ坝
RPQOMLLLJIMFFEE87CA,穝绍琿琿,16.39,常カ
RPXOMLLJKIMFFEE48CA,屡琿琿,8.10,常カ坝
RPTOMLLJKIMFFEE08CA,屡琿琿,10.56,常カ坝
RPUNMLRKJIMFFEE68CA,㎝キ琿琿,30.00,常カ
RPUNMLRKJIMFFEE68CA,㎝キ琿琿,30.00,常カ
RPWOMLLJKIMFFEE38CA,屡琿琿,11.17,常カ坝
RPOPMLLJKIMFFEE67CA,屡琿琿,7.34,常カ坝
RPUNMLLJKIMFFEE08CA,㎝キ琿琿,17.53,常カ
RPUOMLLJKIMFFEE18CA,屡琿琿,10.56,常カ坝
RPVNMLTLJIMFFEE09CA,籄琿琿,2.75,常カ
RPSOMLQKJIMFFEE48CA,穝绍琿琿,6.53,常カ坝
RPROMLSJKIMFFFE68CA,玭琿,482.60,常カ笰
RPROMLSJKIMFFFE68CA,玭琿,74.93,常カ笰
RPRNMLKLJIMFFFE87CA,琿,7.86,常カ
RPVNMLPJKIMFFEE58CA,紈琿,13.77,常カ
RPQOMLPKJIMFFGE38CA,ゅ璣琿,5.95,常カ
RPXOMLQKJIMFFEE98CA,オ琿,27.75,常カ
RPWNMLQKJIMFFFE88CA,┚港琿,88.91,常カ
RPWNMLQKJIMFFFE88CA,┚港琿,88.91,常カ
RPUOMLPKJIMFFGE78CA,郴琿,72.73,常カ
RPUPMLQKJIMFFGE98CA,ρ份琿ヒ琿,28.08,常カ
RPTPMLQKJIMFFGE88CA,榜郴琿,2.58,常カ
RPTPMLQKJIMFFGE88CA,榜郴琿,74.00,常カ
RPSNMLRKJIMFFFE58CA,碔琿,117.70,常カ
RPWRMLOKJIMFFGE56CA,玭地琿,164.50,常カ
RPPNMLSKJIMFFGE48CA,穝ヒ琿,20.01,常カ
RPUOMLRKJIMFFGE98CA,瑆琿,74.54,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPQNMLOKJIMFFFE08CA,à盝琿,14.07,獶常カ笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPQNMLOKJIMFFFE08CA,à盝琿,71.46,獶常カ笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPROMLQKJIMFFFE48CA,ゅて琿,16.00,常カ
RPROMLQKJIMFFFE48CA,ゅて琿,6.00,常カ
RPROMLQKJIMFFFE48CA,ゅて琿,45.00,常カ
RPROMLQKJIMFFFE48CA,ゅて琿,5.45,常カ
RPSNMLKLJIMFFGE08CA,蝴穝琿,11.17,常カ
RPQOMLPKJIMFFFE28CA,λ瞅琿,18.70,常カ
RPUPMLSJKIMFFGE56CA,λ竲琿,18.32,常カ
RPSNMLOLJIMFFGE48CA,ρ份琿,6.96,常カ
RPWPMLSJKIMFFGE76CA,λ竲琿,26.06,常カ
RPOQMLSJKIMFFGE68CA,λ竲琿,26.08,常カ
RPTPMLSJKIMFFGE09CA,λ竲琿,15.20,常カ
RPQPMLNLJIMFFGE38CA,バいァ琿,.49,常カ
RPQPMLNLJIMFFGE38CA,バいァ琿,119.36,常カ
