編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPPOMLPKJIMFFAE67CA,坡道機械,0,10.22
RPUNMLTLJIMFFBE68CA,坡道平面,0,27.51
RPQOMLPJKIMFFAE77CA,坡道平面,0,30.50
RPXNMLLLJIMFFAE08CA,坡道平面,2000000,31.16
RPXNMLLLJIMFFAE08CA,坡道平面,2000000,31.16
RPXNMLLLJIMFFAE08CA,坡道平面,2000000,31.16
RPPOMLSLJIMFFBE18CA,坡道平面,2100000,19.96
RPWNMLSJKIMFFAE58CA,坡道平面,0,30.04
RPROMLNKJIMFFCE87CA,坡道平面,0,41.03
RPTPMLMLJIMFFCE18CA,坡道平面,0,19.72
RPQPMLMKKIMFFBE77CA,坡道平面,0,24.41
RPQPMLMKKIMFFBE77CA,坡道平面,0,24.41
RPRQMLOKJIMFFEE38CA,坡道平面,0,
RPTQMLOKJIMFFEE58CA,坡道機械,0,
RPWOMLSLJIMFFCE98CA,坡道機械,700000,12.97
RPQQMLOKJIMFFEE28CA,坡道平面,0,
RPVOMLSLJIMFFCE88CA,坡道平面,1250000,22.22
RPRQMLKLJIMFFDE97CA,坡道平面,0,
RPTNMLPKJIMFFEE38CA,坡道平面,0,
RPQOMLLLJIMFFEE87CA,坡道機械,0,
RPXOMLLJKIMFFEE48CA,坡道機械,1050000,6.26
RPTOMLLJKIMFFEE08CA,坡道機械,1150000,6.26
RPWOMLLJKIMFFEE38CA,坡道機械,1650000,15.20
RPOPMLLJKIMFFEE67CA,坡道機械,1100000,6.26
RPUOMLLJKIMFFEE18CA,坡道機械,1150000,6.26
RPVNMLPJKIMFFEE58CA,升降機械,0,8.75
RPTPMLQKJIMFFGE88CA,一樓平面,0,
RPPNMLSKJIMFFGE48CA,坡道平面,0,
RPSNMLKLJIMFFGE08CA,坡道機械,0,
RPUPMLSJKIMFFGE56CA,坡道機械,700000,18.28
RPWPMLSJKIMFFGE76CA,坡道平面,800000,29.86
RPOQMLSJKIMFFGE68CA,坡道平面,800000,29.86
RPXPMLSJKIMFFGE86CA,坡道平面,800000,29.86
RPPOMLLLJIMFFIE18CA,坡道平面,0,19.77
RPWNMLLLJIMFFIE78CA,坡道平面,0,19.77
RPROMLLLJIMFFIE38CA,坡道平面,0,19.77
RPSNMLMLJIMFFIE48CA,坡道平面,0,
RPQOMLLLJIMFFIE28CA,坡道平面,0,19.77
RPOOMLLLJIMFFIE08CA,坡道平面,0,19.77
RPOOMLLLJIMFFIE08CA,坡道平面,0,17.26
RPWNMLSJKIMFFLE07CA,一樓平面,0,
RPWNMLSJKIMFFLE07CA,一樓平面,0,
RPOOMLSJKIMFFLE98CA,一樓平面,0,
RPOOMLSJKIMFFLE98CA,一樓平面,0,
RPQOMLNLJIMFFGE28CA,坡道平面,0,23.10
RPRNMLSKJIMFFGE68CA,坡道平面,0,
RPTNMLKLJIMFFGE18CA,其他,0,
RPSPMLQKJIMFFGE78CA,坡道平面,0,
RPQPMLNLJIMFFEE18CA,坡道平面,0,23.23
RPUNMLPJKIMFFEE48CA,升降機械,0,7.12
