編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPPNMLNKJIMFFGF28CC,坡道平面,5000,23.13
RPPNMLNKJIMFFGF28CC,坡道平面,5000,23.13
RPPNMLNKJIMFFGF28CC,坡道平面,5000,23.13
RPTOMLOKJIMFFEF68CC,坡道平面,0,41.25
RPSNMLPKJIMFFEF58CC,坡道機械,0,
RPQNMLLKJIMFFBF67CC,坡道平面,0,
RPRNMLLKJIMFFBF77CC,坡道平面,0,39.65
RPRNMLLKJIMFFBF77CC,坡道平面,0,39.65
RPTOMLPKJIMFFEF78CC,坡道平面,0,32.50
RPRNMLPKJIMFFIF88CC,坡道平面,0,36.74
RPTNMLQKJIMFFEF78CC,坡道平面,0,36.51
RPPPMLQKJIMFFEF58CC,坡道平面,0,29.92
RPUPMLQKJIMFFAF88EC,坡道平面,0,28.94
RPSOMLQKJIMFFDF88EC,坡道平面,0,
RPSOMLQKJIMFFDF88EC,坡道平面,0,
RPSOMLQKJIMFFDF88EC,坡道平面,0,
RPVNMLRKJIMFFHF76CC,坡道機械,0,44.14
RPTOMLQKJIMFFHF56CC,坡道平面,0,32.59
RPRPMLRKJIMFFHF56CC,坡道平面,0,37.14
RPROMLRKJIMFFHF09CC,坡道平面,0,44.59
RPQQMLRKJIMFFBF58CC,坡道平面,0,
RPWQMLRKJIMFFBF56CC,坡道平面,0,29.73
RPURMLRKJIMFFBF09CC,坡道平面,0,14.93
RPRNMLSKJIMFFBF48CC,坡道平面,0,
RPXNMLKLJIMFFDF58CC,坡道平面,0,36.40
RPQOMLKLJIMFFDF97CC,坡道平面,0,37.09
RPQOMLKLJIMFFDF97CC,坡道平面,0,37.09
RPOPMLLLJIMFFEF08CC,坡道平面,0,37.76
RPWPMLKLJIMFFBF48CC,坡道平面,0,42.84
RPUPMLKLJIMFFBF28CC,坡道平面,0,28.50
RPPPMLKLJIMFFBF77CC,坡道平面,0,
RPROMLKLJIMFFBF87CC,坡道平面,0,27.11
RPQPMLMLJIMFFBF08CC,坡道平面,0,
RPSQMLMLJIMFFBF38CC,坡道平面,0,38.70
RPPRMLMLJIMFFBF18CC,坡道平面,0,
RPXQMLMLJIMFFAF78CC,坡道平面,0,29.55
RPXQMLMLJIMFFAF78CC,坡道平面,0,29.55
RPQPMLMLJIMFFIF78CC,坡道平面,0,39.83
RPROMLMLJIMFFGF58CC,坡道平面,0,36.97
RPUNMLNLJIMFFIF09CC,坡道平面,0,19.85
RPRQMLMLJIMFFDF48CC,坡道機械,0,
RPQOMLNLJIMFFDF28CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPQPMLNLJIMFFBF18CC,坡道平面,0,34.54
RPSNMLQLJIMFFBF48CC,坡道平面,0,23.94
RPSNMLQLJIMFFBF48CC,坡道平面,0,23.94
RPRTMLRLJIMFFBF09CC,坡道平面,0,
RPQQMLRLJIMFFBF68CC,坡道平面,0,22.73
RPQQMLRLJIMFFBF68CC,坡道平面,0,22.73
RPTOMLOLJIMFFDF88EC,坡道機械,2000,21.35
RPQUMLRLJIMFFBF09CC,坡道平面,0,
RPOPMLOLJIMFFDF48EC,坡道平面,3000,69.33
RPPPMLSLJIMFFBF58CC,坡道平面,0,33.63
RPPOMLSLJIMFFGF98CC,坡道平面,0,
RPQOMLSLJIMFFEF88CC,坡道平面,0,29.75
RPQOMLSLJIMFFEF88CC,坡道平面,0,29.75
RPVOMLRLJIMFFEF66CC,升降機械,0,
RPRNMLSLJIMFFHF56CC,坡道平面,0,
RPQPMLSLJIMFFBF68CC,坡道平面,0,
RPWOMLSLJIMFFEF86CC,坡道平面,0,33.30
RPQRMLSLJIMFFBF88CC,坡道平面,0,
RPRRMLSLJIMFFBF98CC,坡道平面,0,
RPRPMLSLJIMFFBF78CC,坡道平面,0,
RPTQMLSLJIMFFBF09CC,坡道平面,0,
RPPSMLSLJIMFFBF88CC,坡道平面,0,
RPOSMLSLJIMFFBF78CC,坡道平面,0,
RPSSMLSLJIMFFBF56CC,坡道平面,0,
RPQSMLSLJIMFFBF98CC,坡道平面,0,
RPTNMLSLJIMFFDF98CC,坡道平面,0,28.11
RPWSMLSLJIMFFBF96CC,坡道平面,0,
RPPTMLSLJIMFFBF98CC,坡道平面,0,
RPSUMLSLJIMFFBF76CC,坡道平面,0,38.70
RPUSMLSLJIMFFBF76CC,坡道平面,0,
RPQOMLTLJIMFFCF78CC,坡道平面,0,
RPWNMLTLJIMFFDF76CC,坡道機械,0,27.82
RPWNMLTLJIMFFDF76CC,坡道機械,0,27.82
RPQNMLKMJIMFFEF08CC,坡道平面,0,34.42
RPTPMLTLJIMFFBF56DC,升降機械,0,
RPTPMLTLJIMFFBF56DC,升降平面,0,
RPRNMLTLJIMFFGF56CC,坡道機械,0,13.84
RPRNMLTLJIMFFGF56CC,坡道機械,0,13.84
RPPOMLLJKIMFFCF77CC,坡道平面,0,
RPQNMLKMJIMFFHF38CC,坡道機械,0,
RPTPMLLJKIMFFAF08CC,坡道平面,0,
RPTPMLLJKIMFFAF08CC,坡道平面,0,
RPTPMLLJKIMFFAF08CC,坡道平面,0,
RPUQMLLJKIMFFEF68CC,坡道平面,0,42.94
RPVNMLMJKIMFFIF98CC,坡道平面,0,30.02
RPUOMLMJKIMFFBF28CC,坡道平面,0,18.00
RPOOMLMJKIMFFBF67CC,坡道平面,0,
RPQOMLOJKIMFFDF28CC,坡道平面,0,23.44
RPSOMLMJKIMFFBF08CC,坡道平面,0,15.85
RPTOMLMJKIMFFBF18CC,坡道平面,0,20.82
