絪腹,跋琿竚,簿锣縩(キよそへ),ㄏノだ跋┪絪﹚
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPROMLNKJIMFFGH78CC,狥钞琿,75.46,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPVNMLNKJIMFFHH56CC,纒地琿,.00,常カ
RPRNMLNKJIMFFHH78CC,纓琿,11.34,常カ坝
RPOOMLNKJIMFFAH87CC,狥琿,.00,常カ坝
RPTNMLNKJIMFFHH98CC,臿琿,20.33,常カ
RPTNMLNKJIMFFHH98CC,臿琿,53.86,常カ
RPVNMLNKJIMFFGH09CC,琍琿,.00,常カ
RPPPMLNKJIMFFEH58DC,獵琿,24.10,常カ
RPWNMLNKJIMFFHH66CC,ゅて琿,303.00,常カ
RPXOMLNKJIMFFBH88CC,┚褐琿,.00,常カ
RPTOMLNKJIMFFBH48CC,砍琿,.00,常カ
RPTPMLNKJIMFFBH58CC,確砍琿,.00,常カ
RPTPMLNKJIMFFBH58CC,確砍琿,.00,常カ
RPXNMLNKJIMFFGH76DC,玭地琿,.00,常カ
RPXNMLNKJIMFFGH76DC,玭地琿,.00,常カ
RPVPMLNKJIMFFBH88DC,糳琿,87.00,常カ
RPVPMLNKJIMFFBH88DC,糳琿,87.00,常カ
RPPPMLOKJIMFFAH28DC,い瓾琿,85.57,常カ
RPXOMLNKJIMFFAH88DC,玭琿,28.20,常カ
RPRPMLNKJIMFFAH38DC,玭琿,15.15,常カ
RPVNMLOKJIMFFBH78DC,畒琿侣琿,16.50,常カ
RPVNMLOKJIMFFEH09DC,λ瞅琿畆琿,2326.00,常カ
RPVNMLOKJIMFFEH09DC,λ瞅琿畆琿,2326.00,常カ
RPSPMLOKJIMFFBH58CC,く不琿,.00,獶常カ ; 獶常カ絪﹚
RPXOMLPKJIMFFBH09CC,い胏瓾郴琿,.00,常カ
RPTPMLOKJIMFFAH68DC,瓾琿瓾琿,1027.00,常カ坝
RPTPMLOKJIMFFAH68DC,瓾琿瓾琿,1027.00,常カ坝
RPTPMLOKJIMFFAH68DC,瓾琿瓾琿,13.00,常カ坝
RPOPMLPKJIMFFBH28CC,確砍琿,.00,常カ
RPSOMLPKJIMFFBH58CC,砍玭琿砍玭琿,.00,常カ坝
RPUNMLOKJIMFFFH09DC,伦バ琿,21.76,常カ
RPXPMLOKJIMFFAH98CC,芉袻琿,.00,常カ
RPOOMLNKJIMFFGH58DC,玭地琿,.00,常カ
RPOOMLNKJIMFFGH58DC,玭地琿,.00,常カ
RPSPMLPKJIMFFAH58CC,狥琿,.00,常カ坝
RPPNMLPKJIMFFFH58CC,獵匪琿,.00,常カ
RPSNMLQKJIMFFBH58CC,い胏瓾郴琿,.00,常カ
RPOOMLRKJIMFFHH98CC,à℡琿Ю琿,1440.90,常カ笰
RPWOMLQKJIMFFFH86CC,褐砍琿,.00,常カ
RPUNMLPKJIMFFHH66CC,砍地琿,20.85,常カ
RPTQMLRKJIMFFBH09CC,ず胏琿,2247.90,常カ
RPPOMLRKJIMFFHH09CC,紈琿,35.10,常カ
RPSNMLPKJIMFFHH09CC,到倍琿,.00,常カ
RPUNMLPKJIMFFBH78DC,蛮拉琿,1719.73,常カ
RPPNMLPKJIMFFDH38CC,琿琿,.00,常カ
RPSNMLQKJIMFFHH56CC,郴打琿,1652.98,常カ
RPQOMLQKJIMFFCH58CC,肩纒琿,77.34,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQOMLQKJIMFFCH58CC,肩纒琿,.59,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPOMLRKJIMFFCH58CC,き褐琿,2644.00,常カ笰
RPQNMLTKJIMFFAH58CC,攫狶琿,8.46,常カ
RPPNMLTKJIMFFAH48CC,碔瓣琿,14.54,常カ
RPSPMLKLJIMFFBH28CC,く稲琿,.00,常カ坝
RPRNMLRKJIMFFAH58DC,碔瓣琿,61.55,常カ
RPXOMLRKJIMFFBH76DC,獵匪琿,211.75,常カ
RPTNMLRKJIMFFGH76DC,狥琿,52.89,常カ
RPSOMLKLJIMFFEH48CC,猠┏琿,.00,常カ
