絪腹,跋琿竚,簿锣縩(キよそへ),ㄏノだ跋┪絪﹚
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPNMLOKJIMFFAI87CA,フ琿,70.00,常カ
RPOOMLOKJIMFFAI87CA,隔繷琿,123.00,常カ
RPQNMLQKJIMFFAI18CA,隔繷琿,477.00,常カㄤ
RPRNMLQKJIMFFAI28CA,隔繷琿,61.00,常カㄤ
RPSNMLRKJIMFFAI48CA,堕琿,68.00,常カ
RPQNMLRKJIMFFAI28CA,糂琿糂琿,350.00,常カ
RPWNMLPKJIMFFAI68CA,縞琿,12.04,常カ
RPRNMLPKJIMFFAI18CA,祏λ琿,4.76,常カ
RPUNMLPKJIMFFAI48CA,Ю琿玂琿,90.00,常カ
RPTNMLRKJIMFFAI58CA,λ瞅琿,72.00,常カ
RPVOMLNLJIMFFAI58CA,环狥琿,14.18,常カ
RPVNMLPKJIMFFAI78EA,ゆ琿,148.00,常カ
RPVNMLPKJIMFFAI78EA,ゆ琿,148.00,常カ
RPOOMLNLJIMFFAI87CA,λ瞅琿,97.00,常カ
RPTNMLSLJIMFFAI78CA,翠￤琿翠￤琿,309.00,常カ
RPSNMLRLJIMFFAI58CA,Ю琿玂琿,88.42,常カ
RPTNMLKKKIMFFAI97CA,砍琿,.59,常カㄤ
RPTNMLKKKIMFFAI97CA,砍琿砍琿,15.27,常カ
RPTNMLKKKIMFFAI97CA,砍琿砍琿,.23,常カ
RPTNMLKKKIMFFAI97CA,砍琿砍琿,88.99,常カ
RPTNMLKKKIMFFAI97CA,砍琿砍琿,6.64,常カ
RPXNMLNLJIMFFAI68CA,榜繷琿,25.18,常カ
RPWNMLRKJIMFFAI09EA,祏λ琿,6.98,常カ
RPQNMLKKKIMFFAI67CA,λ瞅琿い砍琿,15.28,常カ坝
RPWNMLRJKIMFFAI88CA,縞狥琿,32.12,常カ笰
RPWNMLRJKIMFFAI88CA,縞狥琿,37.38,常カ笰
