絪腹,跋琿竚,簿锣縩(キよそへ),ㄏノだ跋┪絪﹚
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPVNMLRLJIMFFAM66CA,跋琿,426.52,常カ
RPPNMLRLJIMFFAM68CA,臱琿,18540.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPPNMLRLJIMFFAM68CA,臱琿,4400.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPXNMLNKJIMFFCM56CA,褐砍琿,687.50,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPROMLOKJIMFFCM78CA,褐砍琿,4245.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPQOMLOKJIMFFCM68CA,┚竡琿,103.46,常カ
RPPNMLRLJIMFFCM88CA,Ю琿,2405.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPPOMLOLJIMFFCM68CA,醂肪琿,1654.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPQNMLMKKIMFFBM38CA,紈琿,1.30,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLMKKIMFFBM38CA,紈琿,.35,獶常カ秏跋 ; 獶常カ絪﹚ユ硄ノ
RPQNMLMKKIMFFBM38CA,紈琿,25.36,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPQNMLMKKIMFFBM38CA,紈琿,96.58,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPQNMLMKKIMFFBM38CA,紈琿,1.48,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPUOMLOKJIMFFBM98CA,穝碔く琿,21.28,常カ
RPUOMLOKJIMFFBM98CA,穝碔く琿,118.76,常カ
RPUOMLOKJIMFFBM98CA,穝碔く琿,7.53,常カ
RPOOMLOKJIMFFBM38CA,穝碔く琿,21.28,常カ
RPOOMLOKJIMFFBM38CA,穝碔く琿,73.75,常カ
RPRNMLRKJIMFFDM09CA,肬辰琿,1206.45,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPWNMLQJKIMFFCM76CA,┚み琿,23.87,常カ
RPUNMLNLJIMFFDM09CA,拉郴琿,3000.00,獶常カ此狶跋 ; 獶常カ絪﹚狶穨ノ
RPTNMLNLJIMFFDM98CA,拉郴琿,3000.00,獶常カ此狶跋 ; 獶常カ絪﹚狶穨ノ
RPVNMLNLJIMFFDM56CA,拉郴琿,3000.00,獶常カ此狶跋 ; 獶常カ絪﹚狶穨ノ
RPTNMLOKJIMFFCM98DA,瓣﹎琿,249.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPTNMLOKJIMFFCM98DA,瓣﹎琿,430.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚贺縱ノ
RPXNMLNLJIMFFCM66CA,┚У琿,25.50,常カㄤ
RPXNMLOKJIMFFBM56CA,穝碔く琿,21.28,常カ
RPVNMLOKJIMFFBM98CA,穝碔く琿,21.28,常カ
RPXNMLOKJIMFFBM56CA,穝碔く琿,87.75,常カ
RPVNMLOKJIMFFBM98CA,穝碔く琿,73.76,常カ
RPQNMLTJKIMFFCM09CA,痸琿,61.90,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLTJKIMFFCM09CA,痸琿,61.90,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLPKJIMFFDM78CA,参琿,10.45,常カ
RPQNMLPKJIMFFDM78CA,参琿,.10,常カ
RPSNMLLLJIMFFAM48DA,臱琿,3144.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPTNMLPKJIMFFAM88DA,い糳琿,2458.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPQNMLPKJIMFFEM98DA,㎝キ琿,80.23,常カ笰
RPTNMLLLJIMFFCM78DA,穝砍琿,2505.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPRNMLPKJIMFFEM09DA,㎝キ琿,681.28,常カ
RPQNMLOJKIMFFEM78CA,ッ伦琿,1433.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLMKKIMFFDM58DA,骋琿,8478.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚狶穨ノ
RPPNMLPKJIMFFDM68CA,猿琿,932.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPPNMLPKJIMFFDM68CA,猿琿,241.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPTNMLOLJIMFFDM09CA,λ瞅琿琿,155.00,常カ
RPRNMLRKJIMFFCM98CA,琿,1980.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPRNMLRKJIMFFCM98CA,琿,3360.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPRNMLQJKIMFFDM98CA,裹懂琿,6.61,常カㄤ
RPRNMLQJKIMFFDM98CA,裹懂琿,179.12,常カ
RPRNMLQJKIMFFDM98CA,裹懂琿,144.71,常カ
RPPNMLOKJIMFFDM58CA,╭狶琿,55.70,常カ
RPPNMLOKJIMFFDM58CA,╭狶琿,34.95,常カ
RPPNMLOKJIMFFDM58CA,╭狶琿,.26,常カ
RPROMLMKKIMFFCM68CA,┚У琿,115.43,常カㄤ
RPROMLMKKIMFFCM68CA,┚У琿,129.31,常カㄤ
RPROMLMKKIMFFCM68CA,┚У琿,72.01,常カㄤ
RPROMLMKKIMFFCM68CA,┚У琿,84.41,常カㄤ
RPVNMLPKJIMFFAM98CA,Θ琿,69.70,常カ
RPSNMLPKJIMFFAM68CA,い糳琿,894.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPSNMLPKJIMFFAM68CA,い糳琿,1354.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPSNMLPKJIMFFAM68CA,い糳琿,1729.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPVNMLPKJIMFFBM09CA,盢瓁琿,92.89,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPVNMLPKJIMFFBM09CA,盢瓁琿,30.47,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
