絪腹,跋琿竚,簿锣縩(キよそへ),ㄏノだ跋┪絪﹚
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPQNMLRKJIMFFAM88CC,玭猀拉琿,94.96,常カㄤ
RPRNMLQLKIMFFBM56CC,べ琿,26.00,常カ
RPRNMLQLKIMFFBM56CC,べ琿,224.00,常カ
RPVNMLKKJHNFFAM68CC,ず穝琿,99.80,常カ
RPQNMLTLJIMFFAM56CC,地穝琿,90.30,常カ
RPXNMLOJJHNFFAM56CC,砍琿,85.00,常カ
RPTNMLLKKIMFFAM68CC,篴琿,48.27,常カ
RPRNMLMLKIMFFBM78CC,ρ琿,671.17,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPTNMLTKJHNFFAM76CC,古㎝琿,98.00,常カ
RPQNMLOJKIMFFAM58CC,Ю琿,12.28,常カ
RPXNMLNKJIMFFBM66CC,い砍琿,75.50,常カ
RPPNMLRKJIMFFAM78CC,遏琿,55.00,常カ坝
RPPNMLPJJHNFFBM58CC,穝琿,87.82,常カ
RPQNMLLKJHNFFBM38CC,綾糩琿,55.87,常カ
RPVNMLTKJHNFFAM96CC,匪琿,34.15,獶常カ℡玂▅跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLNLJHNFFAM68CC,玭щ琿,14.42,常カ
RPQNMLLJKHNFFAM28CC,ず穝琿,64.32,常カ
