╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕m/л╪кл░╧мqк∙╡P,дgжa▓╛┬р┴`н▒┐n(ендшд╜д╪),│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐n(ендшд╜д╪),л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙(д╕),│ц╗∙(д╕/ендшд╜д╪),иожь├■зO,иожь▓╛┬р┴`н▒┐n(ендшд╜д╪),иожь┴`╗∙(д╕),│╞╡∙,╜s╕╣
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlел╢}д╕╕Ї474л╤36з╦61~90╕╣,139.12,жэ,,,1060928,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060607,204.85,5,3,4,ж│,╡L,8360000,40810,,0.0,0,,RPXNMLNKJIMFFBQ86CA
кFе█╢m,дgжa,│Fдl╝dмqдх│Fдpмq91~120жa╕╣,1002.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1061103,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,350000,349,,0.0,0,,RPPNMLOKJIMFFBQ78CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдj?╖}1036л╤1з╦1~30╕╣,156.36,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061012,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0970408,482.78,4,2,2,ж│,ж│,13550000,28067,,0.0,0,,RPPNMLPKJIMFFBQ88CA
д╗╕}╢m,дgжa,╞Wе_мq271~300жa╕╣,84.34,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061024,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,230000,2727,,0.0,0,,RPTNMLPKJIMFFBQ66CA
ж╡дlел,дgжa,╖s╔▄мqнл╣║дpмq181~210жa╕╣,2160.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061106,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2505600,1160,,0.0,0,,RPQNMLTKJIMFFBQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓┼vз°14╛F║╓┼v1~30╕╣,87.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061016,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0691215,183.15,4,2,3,ж│,╡L,3000000,16380,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPNMLPKJIMFFCQ98CA
е┴╢п╢m,дgжa,дд╝╓мq1021~1050жa╕╣,149.03,жэ,,,1060920,дgжa8л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4643240,31156,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLPKJIMFFCQ09CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m│╗▒[з°▒[дl│╗91~120╕╣,79.0,жэ,,,1061008,дgжa0л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0820520,166.35,4,1,3,ж│,╡L,3700000,22242,,0.0,0,,RPQOMLPKJIMFFCQ56CA
дjкL┬э,дgжa,╖sдjоHм№мq1351~1380жa╕╣,85.4,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061025,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,597800,7000,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPSNMLQKJIMFFCQ76CA
дjкL┬э,дgжa,й·йMмq91~120жa╕╣,897.05,жэ,,,1060927,дgжa6л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,40704000,45375,,0.0,0,,RPTNMLQKJIMFFCQ86CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓╝╓з°32╛F░ёид61~90╕╣,107.38,жэ,,,1061026,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0821215,210.77,5,2,3,ж│,ж│,3850000,18266,,0.0,0,,RPPNMLSKJIMFFCQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mкF┤Єз°20╛FкF╢╒┤Є1~30╕╣,122.78,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061003,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0701012,82.4,0,0,0,ж│,╡L,1200000,14563,,0.0,0,,RPRNMLLLJIMFFCQ88CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢mйM┐│з°18╛Fдд╡╪╕Ї739л╤15з╦1~30╕╣,82.14,жэ,,,1061005,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0810629,92.92,3,3,2,ж│,╡L,4600000,49505,,0.0,0,,RPUNMLOKJIMFFDQ86CA
д╙лOел,дgжa,нX╨дОёмqмKп]дpмq1291~1320жa╕╣,2230.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4237000,1900,,0.0,0,,RPWNMLOKJIMFFDQ07CA
│└пє╢m,дgжa,лс│┬мq1141~1170жa╕╣,344.26,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061103,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2000000,5810,,0.0,0,,RPPNMLPKJIMFFDQ09CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел┬┬░ёи╜╖s░ё1~30╕╣,97.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060926,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1060802,186.46,4,3,4,ж│,╡L,6500000,34860,,0.0,0,,RPXNMLRKJIMFFDQ47CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел┬┬░ёи╜╖s░ё1~30╕╣,134.33,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061017,дgжa4л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050726,214.9,5,3,4,ж│,╡L,7700000,35831,,0.0,0,,RPUNMLRLJIMFFDQ27CA
╡f╕Ї╢m,дgжa,д╜е╨мq91~120жa╕╣,4710.5,,┤╦кL░╧,╣Aкке╬жa,1061103,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,779000,165,,0.0,0,,RPTNMLPKJIMFFEQ96CA
▒Ўдs╢m,дgжa,е═дЄ╛Ёмq691~720жa╕╣,1047.2,,┤╦кL░╧,╣Aкке╬жa,1061030,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,170000,162,,0.0,0,,RPPNMLQKJIMFFEQ66CA
дjкL┬э,дgжa,дjдuд@мq211~240жa╕╣,9848.08,,дu╖~░╧,дB║╪л╪┐vе╬жa,1061018,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,ж│,90860720,9226,,0.0,0,,RPRNMLPKJIMFFCQ66DA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOеле_┤ф╕ЇдGмq429л╤200з╦1~30╕╣,104.94,жэ,,,1061030,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1041016,167.25,4,2,3,ж│,╡L,5700000,34081,,0.0,0,,RPVNMLPKJIMFFDQ17DA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эй·йMи╜е╠╜й▒[224л╤1~30╕╣,74.0,жэ,,,1061027,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0821103,159.75,3,2,2,ж│,╡L,3300000,20657,,0.0,0,,RPSNMLOKJIMFFCQ76EA
╖╦дf╢m,дgжa,оукLОёмq61~90жa╕╣,225.0,,╢mз°░╧,ец│qе╬жa,1061020,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,32850,146,,0.0,0,жVмFй▓╛ў├Ўй╙┴╩дзо╫еєбC,RPUNMLOKJIMFFCQ96EA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mддйMз°к└╖╛31~60╕╣,160.39,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061019,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060803,206.26,4,2,3,ж│,╡L,5900000,28605,,0.0,0,,RPSNMLKMJIMFFCQ56EA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mддйMз°к└╖╛31~60╕╣,177.39,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061023,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060803,228.76,4,2,5,ж│,╡L,6880000,30075,,0.0,0,,RPWNMLKMJIMFFCQ96EA
│└пє╢m,дgжa,дUеbд╤мqдUеbд╤дpмq61~90жa╕╣,2686.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061102,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1745900,650,,0.0,0,,RPOOMLPKJIMFFDQ56DA
е┴╢п╢m,дgжa,╕ндl╝dмq121~150жa╕╣,4050.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1061031,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1100000,272,,0.0,0,,RPWNMLQKJIMFFCQ27DA
│└пє╢m,дgжa,дU╝цмqдU╝цдpмq541~570жa╕╣,3586.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061030,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3440000,959,,0.0,0,,RPQNMLPKJIMFFDQ66DA
ж╡дlел,дgжa,╝wжwмq781~810жa╕╣,19.0,жэ,,,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,419520,22080,,0.0,0,,RPQNMLRKJIMFFBQ66DA
кFе█╢m,дgжa,╖╦дlдUмq╖╦дlдUдpмq421~450жa╕╣,1834.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1060408,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1280000,698,,0.0,0,┐╦д═├ЎлY╢бдзецйЎбC,RPRNMLRKJIMFFBQ76DA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢mйMм№з°20╛Fе├╝╓╖sз°271~300╕╣,101.71,жэ,,,1060905,дgжa3л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0690324,100.12,2,1,2,ж│,╡L,4860000,48542,,0.0,0,,RPQNMLKKKIMFFDQ78CA
д╙лOел,й╨жa(дgжa+л╪кл)+иожь,╣┼╕q┐дд╙лOел┬┬░ёи╜╖sжwд@╡є1л╤1~30╕╣,71.68,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061026,дgжa2л╪кл2иожь2,дT╝h,дн╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0880531,156.87,4,2,2,ж│,╡L,1800000,11474,д@╝╙енн▒,0.0,0,,RPPOMLPKJIMFFDQ56CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелжwдпи╜д╙лOдG╕Ї31~60╕╣,45.98,жэ,,,1061001,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбAдT╝h,дE╝h,й▒н▒(й▒╛Q),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0850207,153.0,2,2,3,ж│,ж│,5350000,34967,,0.0,0,,RPSNMLQKJIMFFDQ86CA
д╙лOел,дgжa,╣L╖╛мq╣L╖╛дpмq691~720жa╕╣,6593.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061024,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,13317860,2020,,0.0,0,,RPTNMLMLJIMFFDQ66CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эжшкLи╜▓╗йM╕Ї151~180╕╣,126.18,жэ,,,1061007,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,игифеL╡n░Oи╞╢╡,0791213,156.94,3,2,2,ж│,╡L,3880000,24723,,0.0,0,,RPQNMLMLJIMFFCQ88CA
╖s┤ф╢m,дgжa,дддuмq31~60жa╕╣,231.0,,дu╖~░╧,дB║╪л╪┐vе╬жa,1061026,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1850000,8009,,0.0,0,,RPUNMLQKJIMFFCQ96CA
е┴╢п╢m,дgжa,║╓┐│мq241~270жa╕╣,2259.24,,д@пы╣A╖~░╧,╣Aкке╬жa,1061018,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4100520,1815,,0.0,0,,RPWNMLPKJIMFFCQ07CA
╖s┤ф╢m,дgжa,жш╔▄мq181~210жa╕╣,78.33,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061103,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,237000,3026,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC,RPOOMLPKJIMFFCQ98CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m┐│лnз°└Y╛Ї751~780╕╣,21.19,жэ,,,1061013,дgжa3л╪кл1иожь0,дT╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821214,109.19,3,2,2,ж│,ж│,2770000,25369,,0.0,0,,RPPOMLPKJIMFFCQ09CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эй·йMи╜10╛Fй╛з╡╕Ї593л╤1~30╕╣,121.0,жэ,,,1061024,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0830818,167.38,4,2,2,ж│,╡L,5000000,29872,,0.0,0,,RPPOMLQKJIMFFCQ56CA
╖s┤ф╢m,дgжa,дым▄╝цмqм▄╝цдpмq271~300жa╕╣,3601.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061017,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,8800000,2444,,0.0,0,,RPUNMLQJKIMFFCQ96CA
╕qж╦╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д╕qж╦╢m╕qж╦331~360╕╣,117.0,жэ,,,1061016,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1060512,221.81,5,2,4,ж│,╡L,7200000,32460,,0.0,0,,RPRNMLTKJIMFFBQ86CA
кFе█╢m,дgжa,дT╢Їнэ╖sмq1141~1170жa╕╣,289.12,,д@пы╣A╖~░╧,╛i┤▐е╬жa,1061106,дgжa9л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,700000,2421,,0.0,0,,RPQNMLQKJIMFFBQ09CA
кFе█╢m,дgжa,┤Єй│мq┤Єй│дpмq91~120жa╕╣,2000.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1061103,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1900000,950,,0.0,0,,RPUNMLLLJIMFFBQ09CA
ж╡дlел,дgжa,┬эжwмq1351~1380жa╕╣,3.5,ифеL,,,1061031,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,100000,28571,,0.0,0,,RPUNMLNLJIMFFBQ66CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдпйMдG╕Ї121~150╕╣,6.97,жэ,,,1061104,дgжa1л╪кл1иожь0,дн╝h,дK╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0950828,28.5,1,1,1,ж│,ж│,720000,25263,,0.0,0,,RPQNMLQLJIMFFBQ56CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелж╡дlдT╕Ї169л╤1~30╕╣,5.03,░╙,,,1061030,дgжa1л╪кл1иожь0,дG╝h,дQ╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0941003,24.810000000000002,1,1,1,ж│,ж│,600000,24184,,0.0,0,,RPPNMLRLJIMFFBQ56CA
ж╡дlел,дgжa,╖s╔▄╖sмq61~90жa╕╣,5983.44,,пSйw▒Mе╬░╧,╣Aкке╬жa,1060828,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7122895,1190,,0.0,0,мFй▓иє─│╗∙┴╩,RPPNMLOJKIMFFBQ78CA
д╗╕}╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╗╕}╢m╗[└Y┐}╝t121~150╕╣,166.7,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061026,дgжa12л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0661028,92.0,4,1,2,ж│,╡L,3300000,35870,,0.0,0,,RPTNMLQJKIMFFBQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m┐│лnз°18╛F└Y╛Ї751~780╕╣,21.77,жэ,,,1061028,дgжa3л╪кл1иожь0,е|╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821214,112.52000000000001,3,2,2,ж│,ж│,1700000,15108,,0.0,0,,RPROMLQKJIMFFCQ76CA
е┴╢п╢m,дgжa,┬∙┤ймq481~510жa╕╣,1077.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061103,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3015600,2800,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPNMLRKJIMFFCQ56CA
