絪腹,跋琿竚,簿锣縩(キよそへ),ㄏノだ跋┪絪﹚
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPUNMLOKJIMFFAT86CA,穝狶琿,22.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPUNMLOKJIMFFAT86CA,穝狶琿,808.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPUNMLOKJIMFFAT86CA,穝狶琿,13.01,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPUNMLOKJIMFFAT86CA,穝狶琿,3.25,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPVOMLQKJIMFFAT27CA,秤砍琿,31.85,常カ
RPQOMLRKJIMFFAT86CA,秤砍琿,18.00,常カ
RPROMLRKJIMFFAT96CA,秤砍琿,19.00,常カ
RPSOMLRKJIMFFAT07CA,秤砍琿,16.00,常カ
RPQNMLOJKIMFFBT56CA,穝缠琿,2843.01,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPQNMLOJKIMFFBT56CA,穝缠琿,2595.26,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPRNMLQKJIMFFAT76CA,縥糳琿,103.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPRNMLQKJIMFFAT76CA,縥糳琿,23.60,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPPNMLOKJIMFFBT09CA,穝蔼琿,102.02,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPWOMLQKJIMFFAT37CA,ド瑄琿,80.26,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPWOMLQKJIMFFAT37CA,ド瑄琿,80.26,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPTNMLOKJIMFFAT76CA,穝褐琿,20.34,常カ
RPTNMLOKJIMFFAT76CA,穝褐琿,71.53,常カ
RPPOMLNKJIMFFAT98CA,琄琿,146.00,常カ
RPXOMLQKJIMFFAT47CA,ド瑄琿,57.82,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPXOMLQKJIMFFAT47CA,ド瑄琿,57.82,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPWNMLOKJIMFFCT27CA,酱弟琿,1240.16,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPTNMLPJKIMFFBT96CA,琿,554.89,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPTNMLPJKIMFFBT96CA,琿,309.31,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPPNMLRLJIMFFCT96CA,碔琄琿,67.63,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPUNMLRLJIMFFCT47CA,紈琿,23.39,常カ
RPWNMLNKJIMFFCT17CA,关ゑ琿,6.16,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPOPMLQKJIMFFAT66CA,ド瑄琿,58.73,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPOPMLQKJIMFFAT66CA,ド瑄琿,58.73,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPVNMLNLJIMFFET37CA,狥琿,504.34,常カ笰
RPXNMLNLJIMFFET57CA,狥琿,519.99,常カ笰
RPWNMLNLJIMFFET47CA,狥琿,541.62,常カ笰
RPQNMLMLJIMFFET76CA,╠う芖琿,114.69,獶常カ℡玂▅跋 ; 獶常カ絪﹚狶穨ノ
RPOOMLNLJIMFFET76CA,狥琿,359.04,常カ笰
RPPNMLLLJIMFFCT98CA,à芖琿,1479.91,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPOOMLQKJIMFFCT76CA,㎝琿,17.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPOOMLQKJIMFFCT76CA,㎝琿,76.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLRKJIMFFET17DA,玂琿玂琿,32.82,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPTNMLLLJIMFFET07DA,玂琿玂琿,14.84,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPQOMLLKKIMFFCT56CA,き豁琿,23.67,常カㄤ
RPQNMLKLJIMFFFT66CA,ず糳琿,3382.89,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPQNMLKLJIMFFFT66CA,ず糳琿,4845.55,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPQNMLKLJIMFFFT66CA,ず糳琿,4374.48,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPRNMLPKJIMFFDT96CA,关じ琿,523.49,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPRNMLPKJIMFFDT96CA,关じ琿,.97,獶常カ秏跋 ; 獶常カ絪﹚ユ硄ノ
RPQNMLOLJIMFFET96CA,紈㎝琿,342.89,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPQNMLQKJIMFFBT86DA,縥琿,116.98,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLQKJIMFFBT86DA,縥琿,1025.08,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPPNMLRKJIMFFBT86DA,狥穝琿,73.50,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPSNMLOKJIMFFAT76DA,紈篴琿,725.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPSNMLOKJIMFFAT76DA,紈篴琿,527.59,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPSNMLOKJIMFFAT76DA,紈篴琿,1561.81,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPWNMLSJKIMFFCT67CA,琿,85.56,常カ
RPWNMLSJKIMFFCT67CA,琿,3.85,常カ
RPXNMLPKJIMFFAT37DA,ゅ琿琿,8.56,常カ
RPPNMLPKJIMFFET86CA,惑繷琿,110.00,獶常カ瓣產そ堕跋 ; 獶常カ絪﹚
RPPNMLPKJIMFFET86CA,惑繷琿,66.50,獶常カ瓣產そ堕跋 ; 獶常カ絪﹚
RPPNMLPKJIMFFET86CA,惑繷琿,192.50,獶常カ瓣產そ堕跋 ; 獶常カ絪﹚
RPPNMLPKJIMFFET86CA,惑繷琿,128.00,獶常カ瓣產そ堕跋 ; 獶常カ絪﹚
RPPNMLPKJIMFFET86CA,惑繷琿,102.75,獶常カ瓣產そ堕跋 ; 獶常カ絪﹚
RPPNMLPKJIMFFET86CA,惑繷琿,163.25,獶常カ瓣產そ堕跋 ; 獶常カ絪﹚
RPPNMLPKJIMFFET86CA,惑繷琿,152.75,獶常カ瓣產そ堕跋 ; 獶常カ絪﹚
RPPNMLPKJIMFFET86CA,惑繷琿,89.75,獶常カ瓣產そ堕跋 ; 獶常カ絪﹚
RPQOMLOJKIMFFAT66DA,瓾琿琿,13.00,常カ
RPQOMLOJKIMFFAT66DA,瓾琿琿,5.00,常カ
RPQOMLOJKIMFFAT66DA,瓾琿琿,12.00,常カ
RPQOMLOJKIMFFAT66DA,瓾琿琿,56.00,常カ
RPVNMLOLJIMFFCT37DA,ρ榜琿,84.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLLLJIMFFDT56CA,穝У琿,136.44,常カ
RPPOMLLJKIMFFAT88DA,穝ネ琿,69.00,常カ
RPSOMLLKKIMFFCT76CA,鞡砍琿,180.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLPKJIMFFET96CA,瓾琿,360.46,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPQNMLLLJIMFFET66CA,瓾琿,165.40,常カ
RPQNMLLLJIMFFET66CA,瓾琿,665.06,常カ
RPQNMLLLJIMFFET66CA,瓾琿,149.91,常カ
RPQNMLLLJIMFFET66CA,瓾琿,193.37,常カㄤ
RPQNMLLLJIMFFET66CA,瓾琿,4.66,常カㄤ
RPPNMLQKJIMFFET96CA,瓾琿,64.96,常カ
RPPNMLQKJIMFFET96CA,瓾琿,112.96,常カ
RPTNMLRLJIMFFCT37CA,┚み盵琿,426.54,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPTNMLRLJIMFFCT37CA,┚み盵琿,16.15,獶常カ猠跋 ; 獶常カ絪﹚笰ノ
RPPNMLQJKIMFFDT86CA,穝┚琿,1.50,常カ
RPPNMLTLJIMFFBT07CA,畐琿,716.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPSOMLLLJIMFFCT76CA,Νà琿,332.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPSOMLLLJIMFFCT76CA,Νà琿,448.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPTOMLLLJIMFFCT86CA,Νà琿,332.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPTOMLLLJIMFFCT86CA,Νà琿,448.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPROMLLLJIMFFCT66CA,Νà琿,332.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPQOMLLLJIMFFCT56CA,Νà琿,332.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
