絪腹,ó摸,ó基,ó縩(キよそへ)
Serial number,berth category,berth price,berth area (square meter)
RPVOMLQKJIMFFAT27CA,加キ,0,
RPQOMLLKKIMFFCT56CA,℡笵キ,0,
RPQQMLQKJIMFFAT96CA,℡笵キ,450000,13.45
RPRNMLKLJIMFFAT88CA,加キ,0,
RPROMLRLJIMFFAT07CA,℡笵キ,0,
RPVNMLRKJIMFFAT27CA,℡笵キ,0,24.01
RPPNMLRKJIMFFAT66CA,℡笵キ,0,
RPTOMLRLJIMFFAT27CA,℡笵キ,0,
RPQNMLRLJIMFFAT86CA,℡笵キ,0,
RPWOMLSKKIMFFAT67CA,℡笵キ,0,21.03
RPOOMLKLJIMFFAT68CA,加キ,0,
RPQNMLTKKIMFFAT17DA,℡笵キ,0,
RPPOMLQJKIMFFAT66CA,℡笵キ,500000,24.01
RPVNMLSKKIMFFDT77CA,加キ,0,
RPVNMLSKKIMFFDT77CA,加キ,0,
RPWNMLRLJIMFFAT47CA,℡笵キ,0,
RPXNMLKMJIMFFAT96CA,℡笵キ,0,24.00
RPRPMLSLJIMFFAT27CA,加キ,0,
RPXOMLOJKIMFFAT27CA,℡笵キ,0,
RPQOMLSLJIMFFAT07CA,加キ,0,
RPOOMLSLJIMFFAT86CA,加キ,0,
RPVOMLSLJIMFFAT57CA,加キ,0,
RPWNMLSLJIMFFAT57CA,加キ,0,
RPTNMLSLJIMFFAT27CA,加キ,0,
RPVNMLSLJIMFFAT47CA,加キ,0,
RPROMLSLJIMFFAT17CA,加キ,0,
RPPNMLQLKIMFFCT96CA,℡笵キ,0,
RPTOMLQJKIMFFAT17DA,℡笵キ,0,30.85
RPQNMLNJKIMFFDT66CA,℡笵キ,0,
RPTQMLSLJIMFFAT57CA,加キ,0,
RPSPMLSLJIMFFAT37CA,加キ,0,
RPTPMLSLJIMFFAT47CA,加キ,0,
RPWPMLSLJIMFFAT77CA,加キ,0,
RPXPMLSLJIMFFAT87CA,加キ,0,
RPVPMLSLJIMFFAT67CA,加キ,0,
RPPQMLSLJIMFFAT17CA,加キ,0,
RPQQMLSLJIMFFAT27CA,加キ,0,
RPRNMLPJKIMFFAT66CA,℡笵キ,0,
RPWNMLRJKIMFFAT37CA,℡笵キ,0,24.00
RPSOMLNKKIMFFAT76CA,℡笵キ,0,
RPTOMLSKKIMFFAT37CA,℡笵キ,0,
RPPNMLSJKIMFFAT86DA,℡笵キ,0,
RPRNMLLJKIMFFAT88CA,℡笵キ,0,17.00
RPVOMLOJKIMFFAT07CA,加キ,0,
RPROMLOJKIMFFAT66CA,加キ,0,
RPWOMLOJKIMFFAT17CA,加キ,0,
RPOPMLLJKIMFFAT78CA,℡笵诀瘪,0,
RPTOMLOJKIMFFAT86CA,加キ,0,
RPQPMLPLKIMFFAT96CA,℡笵キ,0,
RPPPMLPLKIMFFAT86CA,℡笵キ,0,
RPXOMLPLKIMFFAT57CA,℡笵キ,0,
RPVOMLPLKIMFFAT37CA,℡笵キ,0,
RPSOMLPKKIMFFAT96CA,℡笵キ,0,
RPPPMLSKKIMFFAT07CA,℡笵キ,0,
RPRPMLPLKIMFFAT07CA,℡笵キ,0,
RPOPMLPLKIMFFAT76CA,℡笵キ,0,
RPWOMLPLKIMFFAT47CA,℡笵キ,0,
RPQOMLSKKIMFFAT07CA,℡笵キ,0,
RPRNMLNLKIMFFAT66CA,℡笵キ,0,
RPSNMLNLKIMFFAT76CA,℡笵キ,0,
RPTNMLNLKIMFFAT86CA,℡笵キ,0,
RPWNMLTKKIMFFAT67CA,℡笵キ,0,
RPOQMLQJKIMFFAT76CA,℡笵キ,0,
RPWNMLQJKIMFFCT47CA,℡笵キ,0,
RPXOMLSKKIMFFAT77CA,℡笵キ,0,23.99
RPXOMLSKKIMFFAT77CA,℡笵キ,0,23.99
RPPNMLSKKIMFFAT86CA,加キ,0,
RPXNMLLLKIMFFAT07CA,℡笵キ,0,
RPWNMLLKKIMFFAT86CA,℡笵キ,0,24.00
RPOOMLOKKIMFFAT09CA,℡笵キ,0,
RPWNMLTLKIMFFDT08CA,℡笵キ,0,
RPQNMLNJJHNFFDT56CA,℡笵キ,0,
RPWOMLLKKIMFFAT96CA,℡笵キ,0,
RPVOMLMKKIMFFCT17CA,℡笵キ,0,
RPRNMLOKKIMFFDT96CA,℡笵キ,0,
RPTNMLOKKIMFFDT17CA,℡笵キ,0,
RPSNMLOKKIMFFDT07CA,℡笵キ,0,
RPUNMLOKKIMFFDT27CA,℡笵キ,0,
RPXNMLSJJHNFFAT57DA,℡笵キ,0,
RPSOMLSKKIMFFDT57CA,℡笵キ,0,
RPOPMLOKKIMFFAT56CA,℡笵キ,0,
RPPOMLLKJHNFFAT88DA,℡笵キ,0,
RPROMLPKKIMFFAT86CA,℡笵キ,0,
RPVOMLRLKIMFFAT57CA,℡笵诀瘪,0,
RPTNMLMLKIMFFAT76CA,℡笵キ,0,
