絪腹,ó摸,ó基,ó縩(キよそへ)
Serial number,berth category,berth price,berth area (square meter)
RPWOMLRKJIMFFAU57CA,加キ,0,13.51
RPSNMLOLJIMFFAU86CA,℡笵キ,0,17.63
RPPNMLRLJIMFFAU96DA,℡笵キ,0,14.13
RPRNMLTLJIMFFAU27CA,℡笵キ,1000000,25.02
RPROMLSLJIMFFAU27CA,℡笵キ,1000000,14.01
RPXNMLQJKIMFFAU47CA,℡笵キ,800000,12.01
RPPNMLSJKIMFFAU86CA,加キ,0,13.51
RPQQMLOJJHNFFAU86DA,℡笵キ,0,
RPTOMLKLKIMFFAU76CA,加キ,0,
RPUNMLMKJHNFFAU76CA,ㄤ,0,
RPQNMLMLKIMFFAU56CA,加キ,0,13.40
RPPNMLKKJHNFFAU68CA,℡笵キ,0,14.13
RPOPMLRLKIMFFAU07CA,加キ,0,13.40
RPQNMLTLKIMFFAU27CA,加キ,0,13.50
RPPNMLMLJHNFFAU98CA,℡笵キ,0,15.30
RPOPMLRKJHNFFAU96DA,加キ,0,13.40
RPOOMLQJKHNFFAU66CA,℡笵キ,460000,12.17
RPQOMLMJKHNFFAU09CA,加キ,0,
RPUOMLPJKHNFFAU17CA,℡笵诀瘪,0,9.92
RPSQMLOKKHNFFAU17CA,℡笵キ,0,7.70
RPSQMLOKKHNFFAU17CA,℡笵キ,0,7.70
